Track Name,Race Number,Date,Track Miles,Surface,Age,Weather,Track Condition,Race,Horse Name,Jockey,Weight,M/E,PP,Finish,Money Won,Trainer,Owner,Lengths Behind Winner,Length Rating
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Magnum Moon ,"Saez, Luis",122,L,6,1,"$600,000 "," Pletcher, Todd"," Low, Lawana L. and Robert E.",0,0
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Quip ,"Geroux, Florent",122,L,8,2,"$200,000 "," Brisset, Rodolphe"," WinStar Farm LLC, China Horse Club International Ltd. and SF Racing LLC",4,8
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Solomini ,"Prat, Flavien",118,L b,5,3,"$100,000 "," Baffert, Bob"," Zayat Stables, LLC, Magnier, Mrs. John, Tabor, Michael B. and Smith, Derrick",4.25,12.75
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Combatant ,"Santana, Jr., Ricardo",118,L,9,4,"$50,000 "," Asmussen, Steven", Winchell Thoroughbreds LLC and Willis Horton Racing LLC,4.25,17
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Tenfold ,"Espinoza, Victor",118,L,3,5,"$30,000 "," Asmussen, Steven", Winchell Thoroughbreds LLC,4.5,22.5
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Plainsman ,"McMahon, C.J.",118,b,7,6,"$5,000 "," Van Meter, William"," Shortleaf Stable, Inc.",7.25,43.5
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Dream Baby Dream ,"Contreras, Luis",118,L b,4,7,"$5,000 "," Asmussen, Steven", Dream Baby Dream Racing Stable,8.25,57.75
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Beautiful Shot ,"Eramia, Richard",122,L,1,8,"$5,000 "," Desormeaux, J.", Calumet Farm,16,128
OAKLAWN PARK , Race 11," April 14, 2018 ",One And One Eighth ,Dirt,THREE YEAR , Cloudy, Fast,Arkansas Derby Grade 1 - Thoroughbred,Machismo ,"Spieth, Scott",118,L,2,9,"$5,000 "," Quartarolo, Anthony"," Loooch Racing Stables, Inc., Quartarolo, A., Ritchie, R. and Ritchie, C.",21,189
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Good Magic ,"Ortiz, Jose",123,L,10,1,"$600,000 "," Brown, Chad", e Five Racing Thoroughbreds and Stonestreet Stables LLC,0,0
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Flameaway ,"Lezcano, Jose",123,L,11,2,"$200,000 "," Casse, Mark",John C. Oxley,1.5,3
KEENELAND , Race 10," April 7, 2018 ",One And One Eighth ,Dirt,THREE YEAR ,Clear,Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,DQ-Sporting Chance ,"Saez, Luis",123,L,2,3,"$100,000 "," Lukas, D."," Baker, Robert C. and Mack, William L.",3.25,9.75
