Track Name,Race Number,Date,Year,Track Miles,Surface,Age,Weather,Track Condition,Race,Horse Name,Jockey,Weight,M/E,PP,Finish,Money Won,Trainer,Owner,Lengths Behind Winner
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Omaha Beach ,"Smith, Mike",122,L,3,1,"$600,000 "," Mandella, Richard"," Fox Hill Farms, Inc.",0
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Improbable ,"Ortiz, Jose",122,L b,1,2,"$200,000 "," Baffert, Bob"," WinStar Farm LLC, China Horse Club International Ltd. and Starlight Racing",1
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Country House ,"Rosario, Joel",118,L b,8,3,"$100,000 "," Mott, William"," Shields, Jr., Mrs. J. V., McFadden, Jr., E. J. M. and LNJ Foxwoods",6.75
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Laughing Fox ,"Santana, Jr., Ricardo",118,L,5,4,"$50,000 "," Asmussen, Steven"," Lieblong, Alex and JoAnn",7.75
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Galilean ,"Prat, Flavien",122,Lf,7,5,"$30,000 "," Hollendorfer, Jerry"," West Point Thoroughbreds, Barker, Denise, Sandbrook, William, Magnier,John, Tabor, Michael B. and Smith, Derrick",12
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Long Range Toddy ,"Court, Jon",122,L,11,6,"$3,334 "," Asmussen, Steven", Willis Horton Racing LLC,14.75
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Jersey Agenda ,"Vazquez, Ramon",118,L,10,7,"$3,333 "," Asmussen, Steven",Charles E. Fipke,17.5
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Tikhvin Flew ,"Baze, Tyler",118,L,4,8,"$3,333 "," Asmussen, Steven"," Bloom Racing Stable, LLC and Madaket Stables, LLC",23.5
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Gray Attempt ,"Elliott, Stewart",122,L f,6,9,"$3,333 "," Fires, William",Dwight Pruett,23.75
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,Six Shooter ,"Cohen, David",122,L bf,2,10,"$3,333 "," Holthus, Paul"," Dundalk 5 LLC, N P H Stable and Herek, Wes",37.75
OAKLAWN PARK , Race 11, April 13,2019,One And One Eighth , Dirt,THREE YEAR , Showery, Sloppy (Sealed),Arkansas Derby Grade 1 - Thoroughbred,One Flew South ,"Borel, Calvin",118,L b,9,11,"$3,333 "," O'Neill, Doug", Zedan Racing Stables Inc,45
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Vekoma ,"Castellano, Javier",123,L,2,1,"$600,000 "," Weaver, George", R. A. Hill Stable and Gatsas Stables,0
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Win Win Win ,"Ortiz, Jr., Irad",123,L,8,2,"$200,000 "," Trombetta, Michael", Live Oak Plantation,3.5
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Signalman ,"Hernandez, Jr., Brian",123,L,3,3,"$100,000 "," McPeek, Kenneth"," Lewis, Tommie M., Crabtree, Steve, Demaree, Dean, Bernsen, David,Chambers, Jim and Magdalena Racing",3.5
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Somelikeithotbrown ,"Gaffalione, Tyler",123,Lb,1,4,"$50,000 "," Maker, Michael", Skychai Racing LLC and Sand Dollar Stable LLC,4.25
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Chess Chief ,"Lopez, Paco",123,L,5,5,"$30,000 "," Stewart, Dallas"," Estate of James Coleman, Jr.",8.25
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,So Alive ,"Saez, Luis",123,Lb,11,6,"$2,223 "," Pletcher, Todd",Robert V. LaPenta,15
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Sir Winston ,"Leparoux, Julien",123,L b,9,7,"$2,222 "," Casse, Mark",Tracy Farmer,19.25
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Admire ,"Albarado, Robby",123,L,7,8,"$2,222 "," Romans, Dale", Albaugh Family Stables LLC,22.75
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Moonster ,"McKee, John",123,L,13,9,"$2,222 "," Romans, Dale", Calumet Farm,23.25
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Lucky Lee ,"Landeros, Chris",123,L f,10,10,"$2,222 "," Servis, John", Cash is King LLC,30.5
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Market King ,"Court, Jon",123,L,4,11,"$2,222 "," Lukas, D."," Baker, Robert C. and Mack, William",37.25
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Aquadini ,"Lanerie, Corey",123,L,14,12,"$2,222 "," Stewart, Dallas"," Andrew Farm and On Our Own Stable, LLC",38.5
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Dream Maker ,"Geroux, Florent",123,L,6,13,"$2,222 "," Casse, Mark",John C. Oxley,46
KEENELAND , Race 10, April 6,2019,One And One Eighth , Dirt,THREE YEAR , Clear, Fast,Toyota Blue Grass S. Grade 2 - Thoroughbred,Parsimony ,"Gutierrez, Mario",123,L b,12,14,"$2,222 "," O'Neill, Doug", Reddam Racing LLC,47
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,Anothertwistafate ,"Hernandez, Juan",122,Lb,4,1,"$60,000 "," Wright, Blaine"," Peter Redekop B. C., Ltd.",0
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,Kingly ,"Roman, Evin",122,Lb,8,2,"$20,000 "," Baffert, Bob"," Clearview Stables, LLC, RAC 04 Racing, LLC and Meegan, Michael",7
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,More Ice ,"Cedillo, Abel",122,L,10,3,"$12,000 "," Hollendorfer, Jerry"," Hollendorfer, LLC, Kenwood Racing Inc and Robertson, Richard",9.5
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,Angelo's Pride ,"Amador, Silvio",122,Lb,1,4,"$6,000 "," Delia, William"," Delia, William, George, Anthony and Stone, Mike",10.75
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,Weekly Call ,"Quinonez, Alonso",122,Lb,6,5,"$2,000 "," O'Neill, Doug"," ERJ Racing, LLC and Keh, Steven",11.75
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,Mayor Cobb ,"Antongeorgi III, William",122,L b,11,6,$300 ," Wong, Jonathan",David Cobb,13
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,The Creep ,"Blanc, Brice",122,Lb,5,7,$300 ," O'Neill, Doug", Alejandro Mercardo,13
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,Rey Coliman ,"Martinez, Catalino",122,Lb,7,8,$300 ," Rondan, Felix"," Arechiga, Ruben and Rondan, Felix",16
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,Data Hawk ,"Gonzalez, Ricardo",122,Lb,3,9,$300 ," McCanna, Tim",Lester Ellenz,16.25
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,King of Speed ,"Figueroa, Heriberto",122,Lb,2,10,$300 ," Bonde, Jeff", Del Secco DCS Racing,19.75
GOLDEN GATE FIELDS , Race 7, February 16,2019,One And One Eighth , All Weath,THREE YEAR , Cloudy , Fast,El Camino Real Derby Listed - Thoroughbred,Knight's Cross ,"Sanchez, Diego",122,L,9,11,$300 ," Desormeaux, J."," Detmar, Wayne and Voss, Gene",21.75
