HORSE,SIRE,DAM,DAMSIRE,LOC,TRAINER,OWNER,BREEDER
Abiding Star,Uncle Mo,Abiding,Dynaformer,FL,Edward Allard,Stonehedge LLC,Gilbert Campbell
Active Management,Bernardini,Harissa,Afleet Alex,KY,Chad Brown,"Klaravich Stables, Inc. and Lawrence, William H.",Adena Springs
Adelberg,Eskendereya,Timuquana,Smart Strike,FL,Todd Pletcher,Donald R. Dizney LLC,Dizney Double Diamond LLC
Adios Reality,Tapit,Dream Rush,Wild Rush,KY,Bob Baffert,"Stonestreet Stables LLC, Magnier, Susan., Tabor, Michael B. and Smith, Derrick",Stonestreet Thoroughbred Holdings LLC
Admiralty,Trappe Shot,Winning Call,Deputy Minister,KY,Bob Baffert,"Juddmonte Farms, Inc.",Oak Ridge Farm & Fred Allor
Adulator,Flatter,Need,Strong Hope,KY,James Jerkens,Centennial Farms,Claiborne Farm
Adventist,Any Given Saturday,Sharp Minister,Deputy Minister,KY,Leah Gyarmati,Treadway Racing Stable,Monticule
Air Force Blue,War Front,Chatham,Maria's Mon,KY,Aidan O'Brien,"Tabor, Michael B., Magnier, Mrs. John, and Smith, Derrick",Stone Farm
Air Vice Marshal,War Front,Gold Vault,Arch,KY,Aidan O'Brien,"Tabor, Michael B., Smith, Derrick, Magnier, Mrs. John and Allen, Joseph",Cherry Valley Farm LLC
Airman's Creed,Distorted Humor,Wild Poppy,El Prado (IRE),KY,D. Wayne Lukas,"Zayat Stables, LLC",Bryant H. Prentice III 
Airoforce,Colonel John,Chocolate Pop,Cuvee,KY,Mark Casse,John C. Oxley,Stewart M. Madison
Algenon,Aragorn (IRE),Alpine Yodel,Swiss Yodeler,KY,Len Kasmerski,Rozamund Barclay,Rozamund Barclay 
All World,Curlin,Marquet Rent,Marquetry,KY,Todd Pletcher,Eclipse Thoroughbred Partners,Town & Country Farms
