Horse,Color / Sex / Age,Trainer,Owner
(15)GREAT PASSION,b.c.3,Richard E. Mandella,Diamond A Racing Corp. 
(15)JODY SLEW,b.c.3,Todd A. Pletcher,St. Elias Stable
(15)FORTUNE QUEEN,ch.c.3,Chad Summers,J. Stables
(15)REBRIDLED DREAMS,dk b/.c.3,Stables Todd A. Pletcher,"St. Elias Stable , MEB Racing Stables, LLC and Brooklyn Boyz Stables"
ACHIEVER,dk b/.c.3,Steven M. Asmussen,"Winchell Thoroughbreds LLC, Three Chimneys Farm, LLC et al. "
AFLEET ASCENT,b.c.3,Jerry Hollendorfer,Ed and Susie Orr J
AGENT BOND,b.c.3,Peter Miller,Rockingham Ranch
AIRTOUCH,b.c.3,Todd A. Pletcher,"Cheyenne Stables, LLC"
ALFAREED,b.c.3,Doug O'Neill,Zedan Racing Stables
ALI,gr/ro.c.3,William J Hogan,Ken W. Miller
ALL SYSTEMS GO,dk b/.c.3,Todd A. Pletcher,Eric Fein
ALPHA TO OMEGA,b.c.3,Michael J. Maker,Kenneth L. and Sarah K. Ramsey
ALPHAROMEO FIFTEEN,b.r.3,Tim P. Padilla,Tracy Hersman
ALTERNATIVE ROUTE,b.c.3,"Albert M. Stall, Jr.","Spendthrift Farm LLC and Town and Country Racing, LLC"
AMY'S CHALLENGE,dk b/.f.3,McLean Robertson,"Novogratz Racing Stables, Inc. M"
ANALYZE IT,b.c.3,Chad C. Brown,William H. Lawrence
AND STILL,dk b/.c.3,Horacio DePaz,Sagamore Farm
ARAZI LIKE MOVE,gr/ro.g.3,Aldana Gonzalez,"Loooch Racing Stable, Inc."
ARCHED FEATHER,dk b/.c.3,Edward H. Frederick,Stephen R. Baker Ed
ARGONNE,dk b/.c.3,H. James Bond,"William L. Clifton, Jr."
ARK IN THE DARK,dk b/.c.3,Kelly J. Breen,George E. Hall
ARRIVAL,gr/ro.c.3,Mark E. Casse,"John C. Oxley, Gainesway Farm , Helen C. Alexander and Stuart E. Huston"
AUDIBLE,b.c.3,Todd A. Pletcher,"WinStar Farm, LLC , China Horse Club International, Ltd. and SF Racing, LLC"
AUTOSTRADE,ch.c.3,Todd A. Pletcher,"St. Elias Stable, John D'Amato, Lindy Farms and Albert Frassetto"
AVERY ISLAND,b.c.3,Kiaran P. McLaughlin,"Godolphin Racing, LLC "
AX MAN,b.c.3,Bob Baffert,"Patti and Hal J. Earnhardt, III"
AYACARA (GB),ch.c.3,J. Keith Desormeaux,Charles K. and Cynthia F. Marquis J. K
B I MOODY,b.c.3,Eric J. Guillot,"Southern Equine Stable, LLC"
B ON TIME,ch.c.3,Jack Frost,James K. Travis
BAIL OUT,b.c.3,"Claude R. McGaughey, III",Phipps Stable 
BAL HARBOUR,ch.c.3,Todd A. Pletcher,Red Oak Stable
BANDITO,dk b/.c.3,Dale L. Romans,Calumet Farm
BANDUA,gr/ro.c.3,Dermot K. Weld,Calumet Farm
BARRY LEE,dk b/.c.3,Horacio DePaz,Sagamore Farm
BASE COMMAND,dk b/.c.3,Mark A. Hennig,Courtlandt Farms
BEAUTIFUL SHOT,b.r.3,J. Keith Desormeaux,Calumet Farm J. K
BIBLICAL,gr/ro.c.3,Todd A. Pletcher,China Horse Club International Ltd.
BIG BROWN BEAR,dk b/.c.3,Doug Watson,Kildare Stud
BIG BUZZ,dk b/.c.3,Tim Yakteen,George Krikorian
BIG GEMMY,b.c.3,W. Bret Calhoun,"Martin Racing Stable, LLC"
BLAME THE RIDER,b.c.3,Doug O'Neill,"Reddam Racing, LLC"
BLASPHEMY,ch.c.3,Ron Moquett,JoAnn and Alex Lieblong
BLAZE OF GLORY,dk b/.c.3,Richard E. Mandella,"Fox Hill Farms, Inc. Ric"
BOBBY AXELROD,dk b/.c.3,Peter Miller,Rockingham Ranch
BOBBY'S WICKED ONE,ch.c.3,"Albert M. Stall, Jr.","Autumn Hill Farms Racing Stables, Inc."
BOCEPHUS,gr/ro.c.3,Molly J. Pearson,Regan Anderson and Molly J. Pearson
BODIE TAP,b.c.3,Daniel C. Peitz,Robert and Lawana Low
BOLT D'ORO,b.c.3,Mick Ruis,"Ruis Racing, LLC"
BOTERO,dk b/.c.3,Bob Baffert,Don Alberto Stable
BRASSTOWN,dk b/.g.3,Bob Baffert,"Paul Braverman, Timothy Pinch and John Guarnere"
BRAVAZO,dk b/.c.3,D. Wayne Lukas,Calumet Farm
BRAVE NATION,dk b/.c.3,William I. Mott,"WinStar Farm, LLC , China Horse Club International, Ltd. and SF Racing, LL"
BUGLE NOTES,b.c.3,Todd A. Pletcher,St. Elias Stable and West Point Thoroughbreds
BURGUNDY BOY (IRE),gr.c.3,Dermot K. Weld,Yuesheng Zhang
C C RIDER,dk b/.c.3,Michael R. Matz,John T. Behrendt and Charles K. Marquis
CALEXMAN,ch.c.3,Vladimir Cerin,Holly and David Wilson
CALIFORNIA NIGHT,dk b/.c.3,Michael J. Maker,Three Diamonds Farm
CALL WEST,b.c.3,Bob Baffert,Gary and Mary West
CALL A COP,b.c.3,Donnie K. Von Hemel,Sam Britt 
CAMBY,b.c.3,Mark Glatt,Saundra S. and Al Kirkwood
CANDYGRAM,b.c.3,James A. Jerkens,Centennial Farms J
CATHOLIC BOY,b.c.3,Jonathan Thomas,Robert V. LaPenta
CAUSEUR,ch.c.3,H. Graham Motion,Wertheimer and Frere
CEEVEE,b.c.3,Kelly J. Breen,George E. Hall
CHAPS,b.c.3,Eddie Kenneally,Joseph W. Sutton
CHOO CHOO,ch.c.3,Jerry Hollendorfer,Calumet Farm
CLEVER MIND,b.c.3,H. Graham Motion,Richard L. Golden
COLTANDMISSISSIPPI,b.c.3,Todd A. Pletcher,Teresa Viola Racing Stables and St. Elias Stable
COMBATANT,b.c.3,Steven M. Asmussen,"Winchell Thoroughbreds, LLC and Willis Horton Racing, LLC"
COPANO KICKING,dk b/.g.3,Akira Murayama,Sachiaki Kobayashi
COPPER BULLET,b.c.3,Steven M. Asmussen,"Winchell Thoroughbreds, LLC and Willis Horton Racing, LLC"
COUNTRY SQUIRE,b.c.3,Todd A. Pletcher,"Paul P. Pompa, Jr."
COVE BLUE,b.c.3,Dale L. Romans,Jim Bakke and Gerald Isbister
CURLIN'S HONOR,ch.c.3,Mark E. Casse,"Breeze Easy, LLC and John C. Oxley"
CURLIN'S ON FIRE,ch.c.3,Ronda Hutchinson,"Michael J. Almerico, II"
CURLY'S ROCKET,b.c.3,Bob Baffert,Frank Fletcher Racing Operations
DAK ATTACK,b.c.3,Dale L. Romans,"Albaugh Family Stable, LLC and Brereton C. Jones"
DARK TEMPLAR,ch.c.3,Brendan P. Walsh,Newtown Anner Stud
DARK VADER,dk b/.c.3,Peter Eurton,"S. Alesia, Burns Racing LLC, Ciaglia Racing LLC and R. Christensen"
DAWOOD,ch.c.3,William I. Mott,"Zayat Stables, LLC"
DEMOLITION,dk b/.c.3,Ian R. Wilkes,"LNJ Foxwoods , SB Racing Corp. and Jason A. Litt"
DEPUTY BERNARDINI,b.c.3,Bob Baffert,"Dickman Legacy Ranch, LLC"
DEPUTY CZAR,b.g.3,Charles Simon,"Skyscraper Racing, LLC"
DESERT STONE (IRE),b.c.3,Richard Baltas,"Zayat Stables, LLC"
DIA DE PAGO,ch.c.3,Vladimir Cerin,Holly and David Wilson
DIAMOND KING,b.c.3,John C. Servis,D. J. Stable LLC and Cash is King LLC
DOMINANT STRATEGY,dk b/.c.3,Chad C. Brown,"Klaravich Stables, Inc."
DRAFT PICK,b.c.3,Peter Eurton,C R K Stable
DREAM BABY DREAM,b.c.3,Steven M. Asmussen,Dream Baby Dream Racing Stable
DREAM FRIEND,ch.c.3,Todd A. Pletcher,Eric Fein
DREAMER'S POINT,b.g.3,Ian R. Wilkes,"Six Column Stables, LLC , Randall L. Bloch and John Seiler"
DRY LEVEE,b.c.3,McLean Robertson,"The Unstable, LLC"
DUNK,dk b/.c.3,Stanley I. Gold,Arindel
DYNAMIC ASSET,b.c.3,Lacey Gaudet,Keith S. Crupper and Team Gaudet
EAGLE STRIKE,b.c.3,Thomas Morley,"Margaret Fauber, Erin Fauber and Imagine Racing"
ECLIPSED MOON,b.c.3,Kenneth G. McPeek,"Fern Circle Stables , Peter J. Callahan and Barry Golden"
EGYPTIAN PIONEER,b.c.3,Rudy R. Rodriguez,"Zayat Stables, LLC"
EISENSTAEDT,b.c.3,Ron Moquett,Southern Springs Stables
EMERGENT,ch.c.3,James A. Jerkens,Centennial Farms
EMPIRE LINE,dk b/.c.3,George Weaver,West Point Thoroughbreds and RAP Racing
ENJOY THE JOURNEY,b.c.3,Patrick B. Byrne,"Chuck and Maribeth Sandford, LLC"
ENTICED,dk b/.c.3,Kiaran P. McLaughlin,"Godolphin Racing, LLC"
EVALUATOR,ch.c.3,Michael Dilger,R and H Stable
