DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE,NOTES
7/20/18,2,MSW-NY-F,,5.5,Turf,Drynachan,4,2.10,TRUE,1,Chad Brown,Javier Castellano,1:03.330,,,City Zip,
7/20/18,2,MSW-NY-F,,5.5,Turf,Shady Shady Shady,5,8.50,FALSE,2,Michelle Nevin,John Velazquez,1:03.635,,,Hat Trick (JPN),
7/20/18,2,MSW-NY-F,,5.5,Turf,Molly's Party,7,33.25,FALSE,3,John Kimmel,Jose Lezcano,1:03.787,,,Desert Party,
7/20/18,2,MSW-NY-F,,5.5,Turf,Mike's Girl,9,4.40,FALSE,4,Steven Asmussen,"Ricardo Santana, Jr.",1:03.826,,,Scat Daddy,
7/20/18,2,MSW-NY-F,,5.5,Turf,Andarta,6,35.25,FALSE,5,Thomas Albertrani,Luis Reyes,1:03.864,,,Declaration of War,
7/20/18,2,MSW-NY-F,,5.5,Turf,Caralicious,3,22.90,FALSE,6,Mitchell Friedman,Junior Alvarado,1:04.093,BEL 6/29 1,21,Noble Mission (GB),
7/20/18,2,MSW-NY-F,,5.5,Turf,Too Foofoo for You,1,2.90,FALSE,7,Thomas Morley,Manuel Franco,1:04.245,BEL 6/15 4,35,Freud,
7/20/18,2,MSW-NY-F,,5.5,Turf,Bank Examiner,10,5.80,FALSE,8,Jeremiah Englehart,"Irad Ortiz, Jr.",1:04.818,,,Central Banker,
7/20/18,2,MSW-NY-F,,5.5,Turf,Big Brown Cat,8,28.75,FALSE,9,Gary Gullo,Joel Rosario,1:05.886,,,Big Brown,
7/20/18,2,MSW-NY-F,,5.5,Turf,Wicked Waters,2,18.20,FALSE,10,Jeremiah Englehart,Luis Saez,1:08.100,,,Stormy Atlantic,
7/20/18,5,MSW-F,,5.5,Dirt,Lyrical Lady,6,6.90,FALSE,1,Steven Asmussen,"Ricardo Santana, Jr.",1:04.240,,,More Than Ready,
7/20/18,5,MSW-F,,5.5,Dirt,She's Got It All,5,21.20,FALSE,2,D. Lukas,Luis Saez,1:05.130,CD 6/30 4,20,Warrior's Reward,
7/20/18,5,MSW-F,,5.5,Dirt,Winandyourin Gin,4,15.30,FALSE,3,Mark Casse,Florent Geroux,1:05.130,,,Into Mischief,
7/20/18,5,MSW-F,,5.5,Dirt,Teletype,10,33.25,FALSE,4,William Mott,Junior Alvarado,1:05.169,,,Data Link,
7/20/18,5,MSW-F,,5.5,Dirt,Brass Ring,1,47.75,FALSE,5,Leah Gyarmati,Rajiv Maragh,1:05.788,BEL 6/13 2,37,Shackleford,
7/20/18,5,MSW-F,,5.5,Dirt,Arms Wide Open,8,27.00,FALSE,6,Raymond Handal,Manuel Franco,1:05.982,,,Jimmy Creed,
7/20/18,5,MSW-F,,5.5,Dirt,Wild Type,3,4.40,FALSE,7,Eddie Kenneally,Jose Ortiz,1:06.020,CD 6/15 4,35,Successful Appeal,
7/20/18,5,MSW-F,,5.5,Dirt,Mertz,9,8.00,FALSE,8,Rudy Rodriguez,"Irad Ortiz, Jr.",1:06.136,BEL 5/19 1,62,Ghostzapper,
7/20/18,5,MSW-F,,5.5,Dirt,Princess Trina,7,6.00,FALSE,9,Ralph Nicks,Joel Rosario,1:06.253,,,Congrats,
7/20/18,5,MSW-F,,5.5,Dirt,Blahnik,2,1.25,TRUE,10,Todd Pletcher,John Velazquez,1:06.988,,,Bernardini,
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Catherinethegreat,1,3.20,FALSE,1,Mark Casse,Jose Ortiz,1:09.980,GP 6/23 4,27,Uncaptured,
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Nonna Madeline,2,2.15,TRUE,2,Todd Pletcher,John Velazquez,1:10.637,MTH 6/23 3,27,Candy Ride (ARG),
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Congrats Gal,3,14.70,FALSE,3,Cathal Lynch,J. Acosta,1:10.753,LRL 6/10 4,40,Congrats,
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Serengeti Empress,7,7.80,FALSE,4,Thomas Amoss,Javier Castellano,1:11.448,IND 7/4 3,16,Alternation,
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Lady Apple,9,6.30,FALSE,5,Steven Asmussen,"Irad Ortiz, Jr.",1:11.487,BEL 6/7 6,43,Curlin,
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Eyeinthesky,8,9.90,FALSE,6,Mark Casse,Tyler Gaffalione,1:11.642,BEL 6/7 3,43,Sky Mesa,
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Fightress,4,10.00,FALSE,7,Norm Casse,Julien Leparoux,1:12.492,CD 6/22 1,28,Tapizar,
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Lonely Road,5,36.50,FALSE,8,Christophe Clement,Manuel Franco,1:12.492,BEL 6/13 2,37,Quality Road,
7/20/18,8,GRD-F,Schuylerville S.,6,Dirt,Tapping Pearl,6,12.30,FALSE,9,Mark Casse,Florent Geroux,1:13.768,CD 6/29 4,21,Tapit,
