Horse,Trainer,Owner(s)
A Bit Special (GB),Patrick L. Biancone,"Linda Shanahan, Mrs. M.V. Magnier and J.P. Magnier "
Afleet Destiny,Uriah St. Lewis,Uriah St. Lewis
Agi's Cait,Michael B. Campbell,"Mellon Patch, Inc. "
Alisio,Kiaran P. McLaughlin,"Godolphin Racing, LLC "
Always Shopping,Todd A. Pletcher,Repole Stable 
Angelia,Todd A. Pletcher,"Cheyenne Stables, LLC "
Another Time,Barbara J. Minshall,"Hoolie Racing Stable, LLC "
Anuket,Bob Baffert,"Juddmonte Farms, Inc."
Beautiful Tale,Dallas Stewart,Charles E. Fipke
Bell's The One,Neil L. Pessin,"Lothenbach Stables, Inc."
Bella Alicita,Steven M. Asmussen,Clark O. Brewster 
Bellafina,Simon Callaghan,"Kaleem Shah, Inc. "
Bizwhacks,Doug O'Neill,"Reddam Racing, LLC"
Bold Script,Stuart C. Simon,Chiefswood Stables
Brill,Jerry Hollendorfer,"OXO Equine, LLC Jerry Hollendorfer"
Broadway Cat,Dallas Stewart,"Commonwealth Stable and Bradshaw, Randy"
Cairo Cutie,Kellyn Gorder,Sweet Home Stables and Mark Parkinson
Calf Moon Bay,Jerry Hollendorfer,"Hollendorfer, LLC, Mark DeDomenico LLC and Todaro, George "
Cap De Creus,Todd A. Pletcher,Gainesway Stable 
Cariba,Kiaran P. McLaughlin,"Cheyenne Stables, LLC "
Ce Ce,Michael W. McCarthy,Bo Hersch 
Champagne Anyone,Ian R. Wilkes,"Six Column Stables, LLC and Randall L. Bloch, et al."
Champagne Tale,Dallas Stewart,Charles E. Fipke
Chasing Yesterday,Bob Baffert,Summer Wind Equine
Chocolate Kisses,Mark E. Casse,Debby M. Oxley
Concrete Rose,"George R. Arnold, II","Ashbrook Farm and BBN Racing, LLC "
Daring,John C. Servis,D. J. Stable LLC and Cash is King LLC
Dating Game,Mark A. Hennig,Courtlandt Farms
Destiny Over Fate,Lacey Gaudet,"Ron Paolucci Racing, LLC"
Enamored,Richard E. Mandella,"Perry R. Bass II, and Ramona S. Bass "
Enaya Alrabb,Doug O'Neill,Enaya Racing
Enjoyitwhilewecan,Kiaran P. McLaughlin,"Madaket Stables, LLC and Hat Creek Racing "
Enlisting,"Robert B. Hess, Jr.","Maria E. Hess, Jeffrey Lambert and Paradise Farms Corp. "
Enliven,Steven M. Asmussen,"Godolphin Racing, LLC Kiaran P. McLaughlin"
Eres Tu,Steven M. Asmussen,Beverly S. Anderson and Edward A. Seltzer Steven M. Asmussen
Espresso Shot,Jorge R. Abreu,NY Final Furlong Racing Stable and Maspeth Stable
Excess Capacity,Steven M. Asmussen,David Merjan
Fancy Dress Party,Ben Colebrook,LNJ Foxwoods
Fancy That,Kiaran P. McLaughlin,"Godolphin Racing, LLC "
Feedback,Chad C. Brown,"Klaravich Stables, Inc."
Fire Eagle,Naipaul Chatterpaul,Steven H. Rehfeld 
Flor De La Mar,Bob Baffert,"Godolphin, LLC"
Fun Finder,Kenneth G. McPeek,Magdalena Racing Kenneth G. McPeek
Golden Curl,Brian A. Lynch,Susan and Jim Hill
Graceful Princess,Ralph E. Nicks,"Whisper Hill Farm, LLC"
Hard Not To Love,John A. Shirreffs,"Mercedes Stables LLC, Scott Dilworth, David Ingordo, Dorothy Ingordo and Steve F. Mooney"
High Regard,Victoria Oliver,"G. Watts Humphrey, Jr. Vic"
High Road,"George R. Arnold, II","G. Watts Humphrey, Jr. George"
Holly Hundy,Vladimir Cerin,Holly and David Wilson Vla
Imperial Creed,Michael W. McCarthy,"Gatto Racing, LLC, Sebold Racing LLC, Sigband, Michael and Spencer, Arthur Michael"
Into Trouble,Ben Colebrook,Donamire Farm Ben
Irish Mischief,Brad H. Cox,"Pietrangelo, Michael A., Ten Strike Racing and MadaKet Stables LLC "
It Is The Season,D. Wayne Lukas,Hiram C. Polk and Susan Galandiuk D. W
It Justhitthe Wire,Kiaran P. McLaughlin,Leonard C. Green
Jaywalk,John C. Servis,D. J. Stable LLC and Cash is King LLC 
Jeltrin,Alexis Delgado,"ADR Racing Stable, LLC Alex"
Just Ain't Right,Todd A. Pletcher,"Bortolazzo Stable, LLC"
Kathryn's Sky,Michael W. McCarthy,Jay W. and Cindy Bligh Michael W
Lady Apple,Steven M. Asmussen,Phoenix Thoroughbred III and KatieRich Stables 
Lady Kate,Eddie Kenneally,"Anderson Stables, LLC Eddi"
Laureana,Jerry Hollendorfer,Don Alberto Stable Jerry H
