trackcode,RaceMeet,RaceDate,RaceNumber,Surface,RaceType,ExtendedRaceType,Distance,temperature,RainFall,GallopIndicator,FieldSize,WinningPostPosition,HorseName,odds,Favorite,HalfMilePosition,HalfMileTime,FinalTime,LastRaceDate,LastRaceLocation,LastRaceSurface,LastRaceDistance,PriorPolytrackWins,PriorPolytrackStarts,PriorTurfWins,PriorTurfStarts,LastWorkoutLocation,RouteSprint,WinnersSire,WinnersOwner,WinnersTrainer,WinnersJockey,ExactaPayout,SuperfectaPayout,TrifectaPayout
KEE,Fall 06,10/6/2006,1,Polytrack           ,MSW,3U,8.5,74, ,N/A       ,11,9,Lordly,31.6,N,-5.25,48.18,105.95,8/16/2006,MTH,T,8.5,0,0,0,3,KEE,R,Victory Gallop,Haggin III Louis                                                                                                       ,Oliver Philip                                                                                                          ,Bejarano Rafael                                                                                                        ,156.6,2927.4,945,,
KEE,Fall 06,10/6/2006,2,Polytrack           ,CLM,7.5,6.5,74, ,N/A       ,10,9,A K''s Quest,3.5,Y,-1.25,46.2,77.57,9/7/2006,AP,T,8.5,2,4,0,6,HAW,S,Mortlock (FR),Calabrese Frank                                                                                                        ,Catalano Wayne                                                                                                         ,Albarado Robby                                                                                                         ,97.4,5100.6,1149.8,,
KEE,Fall 06,10/6/2006,3,Polytrack           ,CLM,50,6,74, ,N/A       ,7,7,Girlsjuswanahavfun,5.6,N,-3.5,46.37,71.18,9/18/2006,KD,T,8,0,0,0,2,TP,S,Sword Dance (IRE),Vanderhyde Thomas                                                                                                      ,Stewart Dallas                                                                                                         ,Guidry Mark                                                                                                            ,97.8,3913.8,717,,
KEE,Fall 06,10/6/2006,4,Turf                ,ALW,NW2L,8.5,74, ,N/A       ,8,3,Katerbug,2.2,N,-1.75,49.07,104.68,8/27/2006,ELP,T,5.5,0,0,1,1,CD,R,Pulpit,Humphrey Jr. G.                                                                                                        ,Arnold II George                                                                                                       ,Leparoux Julien                                                                                                        ,17.8,180,103.6,,
KEE,Fall 06,10/6/2006,5,Polytrack           ,MSW,2YO,7,74, ,N/A       ,12,9,What a Tale,1.3,Y,-0.5,47.06,84.11,7/31/2006,SAR,D,5.5,0,0,0,0,KEE,S,Tale of the Cat,Miller III Maurice W. and Van Meter II Thomas F.                                                                        ,Biancone Patrick                                                                                                       ,Leparoux Julien                                                                                                        ,23.4,210.2,73.6,,
KEE,Fall 06,10/6/2006,6,Polytrack           ,ALW,NW2L,7,74, ,N/A       ,8,5,Brilliant Son,2.1,N,-2.25,46.11,83.77,8/26/2006,SAR,D,7,0,0,0,0,TP,S,Stormin Fever,Barry James                                                                                                            ,Simon Charles                                                                                                          ,Bejarano Rafael                                                                                                        ,120,1524.2,336.2,,
KEE,Fall 06,10/6/2006,7,Polytrack           ,ALW,NW2X,8.5,74, ,N/A       ,10,2,Pyramid Love,6.1,N,-0.5,47.17,104.73,8/19/2006,SAR,D,10,0,0,2,4,SAR,R,Fusaichi Pegasus,Dream With Me Stable Inc.                                                                                               ,Biancone Patrick                                                                                                       ,Leparoux Julien                                                                                                        ,129.8,4782.2,959.2,,
KEE,Fall 06,10/6/2006,8,Turf                ,STK,G3Sycamore Breeders'' Cup S.,12,74, ,N/A       ,10,9,Revved Up,2.6,Y,-2.5,52.04,149.83,9/9/2006,MTH,T,11,0,0,13,28,SAR,R,Sultry Song,Live Oak Plantation                                                                                                     ,Clement Christophe                                                                                                     ,Gomez Garrett                                                                                                          ,26.2,872,119.4,,
KEE,Fall 06,10/6/2006,9,Polytrack           ,STK,G2Darley Alcibiades S.,8.5,74, ,N/A       ,14,2,Bel Air Beauty,47.4,N,-1.5,48.81,105.32,9/9/2006,TP,AWS,8,0,1,0,0,CD,R,Smart Strike,Lunsford Bruce                                                                                                         ,Brothers Frank                                                                                                         ,Jara Fernando                                                                                                          ,624,27093.6,4886.2,,
KEE,Fall 06,10/6/2006,10,Turf                ,ALW,NW3X,9,74, ,N/A       ,10,6,Islero Noir (FR),3.5,N,-3.5,48.72,109.15,8/11/2006,SAR,T,9,0,0,3,17,BEL,R,Septieme Ciel,Karches Susan                                                                                                          ,Clement Christophe                                                                                                     ,Gomez Garrett                                                                                                          ,211.2,2717.8,981,,
KEE,Fall 06,10/7/2006,1,Polytrack           ,MSW,3U,6.5,65, ,N/A       ,10,1,Hot Sunrise,21,N,-1.5,45.98,76.98,1/20/2006,OP,D,8,0,0,0,0,CD,S,El Corredor,Rosenblum Harry                                                                                                        ,Holthus Robert                                                                                                         ,McKee John                                                                                                             ,418,21345.2,2879.6,,
KEE,Fall 06,10/7/2006,2,Polytrack           ,CLM,10,6,65, ,N/A       ,11,8,Eastern Point,11.2,N,-3.25,46.68,70.94,9/22/2006,TP,AWS,5.5,0,1,0,1,GLD,S,West Acre,Evola Rosario                                                                                                          ,Kordenbrock Matt                                                                                                       ,Toups Randall                                                                                                          ,102.6,2904.8,435.8,,
KEE,Fall 06,10/7/2006,3,Polytrack           ,ALW,NW2X,8.5,65, ,N/A       ,6,1,Student Council,1.6,Y,-3,48.53,104.1,9/6/2006,TP,AWS,8,1,1,0,3,KEE,R,Kingmambo,Farish W.S.                                                                                                            ,Howard Neil                                                                                                            ,Albarado Robby                                                                                                         ,14.8,109,23.4,,
KEE,Fall 06,10/7/2006,4,Polytrack           ,MSW,2YO,7,65, ,N/A       ,12,4,Baroness Thatcher,2.9,N,-2.5,45.89,83.31,8/20/2006,SAR,D,7,0,0,0,0,CD,S,Johannesburg,Zayat Stables LLC                                                                                                       ,Romans Dale                                                                                                            ,Gomez Garrett                                                                                                          ,47.2,6101.2,368.2,,
KEE,Fall 06,10/7/2006,5,Turf                ,ALW,NW2L,8.5,65, ,N/A       ,7,5,Admiral Bird,1.6,Y,-3,49.23,104.38,9/1/2006,SAR,T,8.5,0,0,1,2,SAR,R,Royal Academy,Dogwood Stable                                                                                                          ,Clement Christophe                                                                                                     ,Gomez Garrett                                                                                                          ,9.2,115.6,26.8,,
KEE,Fall 06,10/7/2006,6,Polytrack           ,ALW,NW2L,7,65, ,N/A       ,12,9,Ginger Punch,1.4,Y,-2,45.96,83.14,5/14/2006,CD,D,7,0,0,0,0,KEE,S,Awesome Again,Stronach Stables                                                                                                        ,Frankel Robert                                                                                                         ,Bejarano Rafael                                                                                                        ,88.2,41710.6,2275.4,,
KEE,Fall 06,10/7/2006,7,Polytrack           ,STK,G3Phoenix Breeders'' Cup S.,6,65, ,N/A       ,9,3,Kelly''s Landing,12.1,N,-5,45.83,69.94,8/26/2006,AP,D,6,0,0,0,0,KEE,S,Patton,Summerplace Farm                                                                                                        ,Kenneally Eddie                                                                                                        ,Bejarano Rafael                                                                                                        ,200,10591.2,1752.8,,
KEE,Fall 06,10/7/2006,8,Polytrack           ,STK,G1Lane''s End Breeders'' Futurity,8.5,65, ,N/A       ,8,2,Great Hunter,5.8,N,-5.5,46.69,104.09,9/6/2006,DMR,D,7,0,0,0,0,HOL,R,Aptitude,Reddam J.                                                                                                              ,O''Neill Doug                                                                                                           ,Espinoza Victor                                                                                                        ,26,638,113.8,,
KEE,Fall 06,10/7/2006,9,Turf                ,STK,G1Shadwell Turf Mile S.,8,65, ,N/A       ,9,3,Aussie Rules,4.9,N,-4.25,47.81,94.23,9/3/2006,LCH,T,16,0,0,3,10,HOL,R,Danehill,Magnier Mrs. John Tabor Michael and Salman Faisal                                                                       ,O''Brien Aidan                                                                                                          ,Gomez Garrett                                                                                                          ,99.6,6620.6,2159.8,,
KEE,Fall 06,10/7/2006,10,Polytrack           ,MSW,2YO,7,65, ,N/A       ,12,3,Mostbeautifulstorm,6.1,N,-1.75,46.59,84.77,8/31/2006,SAR,T,8.5,0,0,0,1,CD,S,Storm Boot,Crawford Jerry and Kirke Gary                                                                                           ,Romans Dale                                                                                                            ,Bejarano Rafael                                                                                                        ,187.2,5133.4,1783,,
KEE,Fall 06,10/8/2006,1,Polytrack           ,MSW,3U,6.5,74, ,N/A       ,12,1,Shield,2.5,Y,-2.75,46.67,77.92,7/16/2006,CD,D,6,0,0,0,2,CD,S,Rahy,Claiborne Farm and Dilschneider Adele B.                                                                                ,Mott William                                                                                                           ,Gomez Garrett                                                                                                          ,29.8,1347,177,,
KEE,Fall 06,10/8/2006,2,Polytrack           ,CLM,25,6,74, ,N/A       ,8,6,Have a Homerun,2.6,N,-5.5,46.05,72.45,8/2/2006,AP,D,6,0,0,0,0,KEE,S,Grand Slam,Burnstein Stan and Irene                                                                                                ,Kenneally Eddie                                                                                                        ,Leparoux Julien                                                                                                        ,43.6,2152.8,163.8,,
KEE,Fall 06,10/8/2006,3,Polytrack           ,CLM,7.5,8.5,74, ,N/A       ,12,10,Arteliaco (BRZ),4.2,N,-2.75,47.9,106.29,8/27/2006,RD,D,8,0,0,0,18,TP,R,Roi Normand,Linch Randy                                                                                                            ,Margolis Steve                                                                                                         ,Bejarano Rafael                                                                                                        ,44.4,7339.4,1506,,
KEE,Fall 06,10/8/2006,4,Polytrack           ,CLM,16,7,74, ,N/A       ,10,9,Cat and a Half,0.8,Y,0.5,47.38,83.69,9/1/2006,AP,T,5,0,0,1,2,HAW,S,Storm and a Half,Calabrese Frank                                                                                                        ,Catalano Wayne                                                                                                         ,Albarado Robby                                                                                                         ,33.4,654.4,146.8,,
KEE,Fall 06,10/8/2006,5,Polytrack           ,MSW,2YO,7,74, ,N/A       ,12,3,Poschner,76.6,N,-13,45.47,89.66,9/18/2006,KD,T,6,0,0,0,1,CD,S,Trippi,Dogwood Stable                                                                                                          ,Carroll David                                                                                                          ,Mojica Orlando                                                                                                         ,1463.6,394996.2,38051.8,,
KEE,Fall 06,10/8/2006,6,Turf                ,STK,Woodford S.,5.5,74, ,N/A       ,12,3,Sgt. Bert,14.3,N,-3.5,44.5,61.67,8/5/2006,CRC,T,5,0,2,3,15,CDT,S,Confide,Edelen C. Gary and Preuss Jr. Fred                                                                                      ,Montgomery Gary                                                                                                        ,Bejarano Rafael                                                                                                        ,113,7490,1442.6,,
KEE,Fall 06,10/8/2006,7,Polytrack           ,AOC,NW19MX,7,74, ,N/A       ,8,3,Patricia (ARG),10,N,-7.5,46.59,84.71,8/27/2006,ELP,T,8,0,0,4,9,CD,S,Mont Laurier,Hall David and Argentine Alliance LLC                                                                                   ,Kaelin Forrest                                                                                                         ,Lanerie Corey                                                                                                          ,129,2805,994,,
KEE,Fall 06,10/8/2006,8,Polytrack           ,STK,G1Juddmonte Spinster S.,9,74, ,N/A       ,9,6,Asi Siempre,4.5,N,-3.25,50.5,111.97,8/26/2006,SAR,T,8.5,0,0,5,14,KEE,R,El Prado (IRE),Schwartz Martin                                                                                                        ,Biancone Patrick                                                                                                       ,Leparoux Julien                                                                                                        ,210.4,16675,2714,,
KEE,Fall 06,10/8/2006,9,Turf                ,ALW,NW1X,8.5,74, ,N/A       ,12,7,Victory Design (IRE),1.4,Y,-7.25,47.66,101.72,9/6/2006,TP,AWS,8,0,1,1,5,KEE,R,Danehill,Al-Homaizi Saleh                                                                                                       ,Biancone Patrick                                                                                                       ,Leparoux Julien                                                                                                        ,24,402.6,78.2,,
KEE,Fall 06,10/11/2006,1,Polytrack           ,MCL,MCL,6,69,0.85                ,N/A       ,9,9,Buddy Got Even,4.2,N,-4,45.69,70.25,7/3/2005,CD,T,8,0,0,0,1,TP,S,Stephen Got Even,Fulton Stan                                                                                                            ,Maker Rebecca                                                                                                          ,Mena Miguel                                                                                                            ,26.6,955,99.6,,
KEE,Fall 06,10/11/2006,2,Polytrack           ,CLM,25,6,69,0.85                ,N/A       ,10,8,Vinnie Vega,10.9,N,-5.25,46.37,72.56,9/20/2006,CT,D,4.5,0,0,0,0,CDT,S,Littleexpectations,Linkenhoker Leslie                                                                                                     ,Hinton Stacy                                                                                                           ,Castanon Jesus                                                                                                         ,256.6,25420.6,4320.2,,
KEE,Fall 06,10/11/2006,3,Polytrack           ,STR,STR,10,69,0.85                ,N/A       ,11,6,Skip Irish,6.3,N,-7,48.74,125.02,9/29/2006,TP,AWS,8.5,0,2,6,18,TP,R,Skip Away,Hansen Kendall                                                                                                         ,Bruce Dennis                                                                                                           ,Bejarano Rafael                                                                                                        ,394.2,48742,9633,,
KEE,Fall 06,10/11/2006,4,Polytrack           ,CLM,10,9,69,0.85                ,N/A       ,12,1,Barnard Man,2.1,Y,-3,50.71,112.62,9/26/2006,KD,T,8,1,3,8,41,CD,R,Manlove,Klein Richard Bertram and Elaine                                                                                        ,Flint Steven                                                                                                           ,Castanon Jesus                                                                                                         ,41.8,9106.2,661,,
KEE,Fall 06,10/11/2006,5,Polytrack           ,CLM,25,6,69,0.85                ,N/A       ,11,4,Parker Run,3.4,Y,-0.5,46.41,70.43,9/18/2006,KD,T,7,0,0,5,23,CD,S,Glitterman,Spiegler Larry                                                                                                         ,Flint Steven                                                                                                           ,Castanon Jesus                                                                                                         ,312.2,10943.2,1632.8,,
KEE,Fall 06,10/11/2006,6,Polytrack           ,MSW,2YO,7,69,0.85                ,N/A       ,12,3,Lady Joanne,2.4,Y,-1.5,45.91,88.07,9/20/2006,TP,AWS,5.5,0,1,0,0,CD,S,Orientate,Smith Bentley                                                                                                          ,Nafzger Carl                                                                                                           ,McKee John                                                                                                             ,43,5481,252.6,,
KEE,Fall 06,10/11/2006,7,Turf                ,ALW,NW1X,8.5,69,0.85                ,N/A       ,9,7,Grande Melody (IRE),1,Y,-7.75,46.27,102.55,6/11/2006,CHY,T,21,0,0,1,4,KEE,R,Grand Lodge,Allen Joseph                                                                                                           ,Biancone Patrick                                                                                                       ,Leparoux Julien                                                                                                        ,36.4,493.2,124.2,,
KEE,Fall 06,10/11/2006,8,Polytrack           ,AOC,NW3X,8.5,69,0.85                ,N/A       ,7,7,Irene''s Mon,1.5,Y,-5.25,48.36,104.56,9/7/2006,TP,AWS,8,1,1,0,2,KEE,R,Maria''s Mon,Burnstein Irene and Wieczorek Ann                                                                                       ,Kenneally Eddie                                                                                                        ,Leparoux Julien                                                                                                        ,69.8,1838.2,432,,
KEE,Fall 06,10/11/2006,9,Turf                ,ALW,NW2X,9,69,0.85                ,N/A       ,10,2,Black Java,24.9,N,-15.5,46.75,111.91,1/22/2006,TP,AWS,8,0,1,2,7,TP,R,Pine Bluff,Pruette George                                                                                                         ,Galvin Derek                                                                                                           ,Martinez Willie                                                                                                        ,611.4,20520.8,4523.4,,
KEE,Fall 06,10/12/2006,1,Polytrack           ,MCL,MCL,7,51,trace               ,N/A       ,8,1,Wrapper,7.4,N,-5.25,45.76,83.8,9/18/2006,KD,T,8,0,1,0,3,CDT,S,Capote,Bradley Fred and Hurst Carl                                                                                             ,Bradley William                                                                                                        ,Teator Phil                                                                                                            ,78.4,649.4,239.4,,
KEE,Fall 06,10/12/2006,2,Polytrack           ,CLM,30NW2L,9,51,trace               ,N/A       ,10,9,Upthecreekwithali,1.9,Y,-4.75,48.52,109.99,8/11/2006,SAR,T,8.5,0,0,0,3,MTH,R,Storm Creek,Campbell Jr. Alex                                                                                                      ,Pletcher Todd                                                                                                          ,Bejarano Rafael                                                                                                        ,73.6,4140.2,477.4,,
KEE,Fall 06,10/12/2006,3,Polytrack           ,ALW,NW1X,6,51,trace               ,N/A       ,7,7,Bammel,14.4,N,-2.75,45.98,69.44,9/15/2006,TP,AWS,5.5,0,2,0,1,TP,S,Coronado''s Quest,Heiligbrodt Racing Stable                                                                                               ,Blasi Scott                                                                                                            ,Bridgmohan Shaun                                                                                                       ,320.6,1702.8,819.8,,
KEE,Fall 06,10/12/2006,4,Polytrack           ,MSW,2YO,8.5,51,trace               ,N/A       ,12,3,Dominican,1.5,Y,-0.25,49.41,105.18,9/10/2006,AP,D,8,0,0,0,0,KEE,R,El Corredor,Silverton Hill LLC                                                                                                      ,Miller Darrin                                                                                                          ,Albarado Robby                                                                                                         ,53.4,5220.2,829.6,,
KEE,Fall 06,10/12/2006,5,Polytrack           ,CLM,40,6,51,trace               ,N/A       ,10,8,Captain Malory,7.3,N,-1.25,46,69.45,9/9/2006,WO,AWS,6.5,0,1,0,5,CD,S,Navarone,Choctaw Racing Stable                                                                                                   ,Whiting Lynn                                                                                                           ,Melancon Larry                                                                                                         ,167.4,5981.4,2089.8,,
KEE,Fall 06,10/12/2006,6,Polytrack           ,MSW,2YO,8.5,51,trace               ,N/A       ,12,3,Zanjero,3.6,N,-8.75,47.11,104.18,9/2/2006,SAR,D,6.5,0,0,0,0,KEE,R,Cherokee Run,Winchell Thoroughbreds LLC                                                                                              ,Blasi Scott                                                                                                            ,Bridgmohan Shaun                                                                                                       ,44.6,597.6,142,,
KEE,Fall 06,10/12/2006,7,Turf                ,ALW,NW2X,9,51,trace               ,N/A       ,9,8,Electric Chant,4.4,N,-1.5,50.17,111.69,9/23/2006,LAD,T,8.5,0,0,0,2,LAD,R,War Chant,Grum Clifford                                                                                                          ,Borel Cecil                                                                                                            ,Borel Calvin                                                                                                           ,75,3693.4,600.6,,
KEE,Fall 06,10/12/2006,8,Polytrack           ,AOC,NW3X,6.5,51,trace               ,N/A       ,9,3,Indian Flare,0.6,Y,-1.5,45.89,75.68,9/16/2006,BEL,D,6,0,0,0,0,KEE,S,Cherokee Run,Juddmonte Farms Inc.                                                                                                    ,Frankel Robert                                                                                                         ,Bejarano Rafael                                                                                                        ,13.2,470.8,132.4,,
KEE,Fall 06,10/12/2006,9,Polytrack           ,CLM,30NW2L,8.5,51,trace               ,N/A       ,10,8,Pleasantly Dazling,3.6,N,0.5,48.51,105.15,8/26/2006,AP,T,9,0,0,1,8,HAW,R,Pleasant Tap,Calabrese Frank                                                                                                        ,Catalano Wayne                                                                                                         ,Albarado Robby                                                                                                         ,50.4,2092.6,174.8,,
KEE,Fall 06,10/13/2006,1,Polytrack           ,STR,STR,6,54, ,N/A       ,8,3,Bid Made,1.2,Y,-1,46.66,69.85,9/21/2006,TP,AWS,8,2,6,2,7,TP,S,Repriced,Lenihan Thomas F. Melson James Kerr Rick and Cullen Mark                                                                ,Connelly William                                                                                                       ,Bejarano Rafael                                                                                                        ,18.8,467.4,49.2,,
KEE,Fall 06,10/13/2006,2,Polytrack           ,MCL,MCL,7,54, ,N/A       ,11,8,Tux n'' Tales,2.7,N,-0.125,45.76,82.59,9/4/2006,ELP,D,6,0,0,0,0,CD,S,Tale of the Cat,Jones Jr. Frank L. and Stallings Robert G.                                                                              ,Romans Dale                                                                                                            ,Guidry Mark                                                                                                            ,130.4,5100,583.2,,
KEE,Fall 06,10/13/2006,3,Polytrack           ,CLM,50,6,54, ,N/A       ,8,7,Without a Doubt,1.9,Y,-3,45.05,69.17,8/19/2006,AP,D,7,0,0,0,2,CD,S,Pentelicus,Moss Maggi                                                                                                             ,Amoss Thomas                                                                                                           ,Graham James                                                                                                           ,21,691.2,215.2,,
KEE,Fall 06,10/13/2006,4,Turf                ,ALW,NW3$RTYX,9,54, ,N/A       ,7,4,Ballast (IRE),2.5,Y,-2.5,47.5,109.58,9/17/2006,WO,T,8,0,0,4,18,KEE,R,Desert Prince (IRE),Thompson Richard                                                                                                       ,Motion H.                                                                                                              ,Gomez Garrett                                                                                                          ,36,328.6,97,,
KEE,Fall 06,10/13/2006,5,Polytrack           ,MSW,2YO,8.5,54, ,N/A       ,12,6,Bees,9.1,N,-5.5,47.33,104.21,9/23/2006,LRL,D,8,0,0,0,0,FAI,R,Rahy,Courtlandt Farms                                                                                                        ,Motion H.                                                                                                              ,Espinoza Victor                                                                                                        ,96.8,27561.2,1603.2,,
KEE,Fall 06,10/13/2006,6,Polytrack           ,ALW,NW1X,6,54, ,N/A       ,9,9,Wildcat Fan,2.2,N,-1,46.17,69.69,7/14/2006,CD,D,7,0,0,0,0,KEE,S,Forest Wildcat,Donamire Farm                                                                                                           ,Foley Gregory                                                                                                          ,Leparoux Julien                                                                                                        ,13.2,364.6,53.4,,
KEE,Fall 06,10/13/2006,7,Polytrack           ,ALW,NW2L,7,54, ,N/A       ,11,9,Joe Got Even,3.7,N,-2.25,46.12,82.26,9/9/2006,TP,AWS,6,1,1,0,0,KEE,S,Stephen Got Even,Tobin Elizabeth and Vaudo Joe                                                                                           ,Sims Philip                                                                                                            ,Bejarano Rafael                                                                                                        ,139.6,26498.8,2579.8,,
KEE,Fall 06,10/13/2006,8,Polytrack           ,AOC,NW3X,8.5,54, ,N/A       ,11,3,Golden Locket,9.4,N,-3,47.97,102.94,9/24/2006,MTH,T,8.5,0,0,1,4,KEE,R,Storm Creek,Humphrey Jr. G.                                                                                                        ,Oliver Vicki                                                                                                           ,Bejarano Rafael                                                                                                        ,180,2302.6,1103,,
KEE,Fall 06,10/13/2006,9,Polytrack           ,STK,G3Perryville S.,7,54, ,N/A       ,11,2,Midnight Lute,7.1,N,-2.25,45.34,84.38,8/20/2006,DMR,D,7,0,0,0,0,OSA,S,Real Quiet,Watson and Weitman Performances LLC and Pegram                                                                          ,Baffert Bob                                                                                                            ,Espinoza Victor                                                                                                        ,146.4,4415.6,1122,,
KEE,Fall 06,10/13/2006,10,Polytrack           ,CLM,7.5,8.5,54, ,N/A       ,12,10,Mentow,7.3,N,-7,47.42,105.12,9/17/2006,TP,AWS,8,0,1,0,1,CDT,R,Acceptable,Cook Jason Hulett Michael and McDonald James                                                                            ,Cook Jason                                                                                                             ,Toups Randall                                                                                                          ,337.8,20608.4,2219.6,,
KEE,Fall 06,10/14/2006,1,Polytrack           ,MSW,3U,9,56, ,N/A       ,11,1,Mixteca,38.8,N,-5,47.58,108.97,6/21/2006,CD,T,9,0,0,0,1,CD,R,El Prado (IRE),Butterfield Interest Inc.                                                                                               ,Simon Charles                                                                                                          ,Castro Eddie                                                                                                           ,314.8,4834.8,1692.8,,
KEE,Fall 06,10/14/2006,2,Polytrack           ,MSW,2YO,6,56, ,N/A       ,12,9,Point of Reason,3.8,N,-7.5,45.35,69.49, ,FTS,FTS,0,0,0,0,0,CD,S,Forest Camp,WinStar Farm LLC                                                                                                        ,Pletcher Todd                                                                                                          ,Gomez Garrett                                                                                                          ,130.2,27395.2,3762.6,,
KEE,Fall 06,10/14/2006,3,Polytrack           ,AOC,NW3$YX,7,56, ,N/A       ,6,5,Straight Line,3.3,N,0.125,46.74,82,9/6/2006,AP,D,8,0,0,0,1,KEE,S,Boundary,Vanier Nancy A. and Cartwright Thoroughbreds LLC                                                                        ,Vanier Harvey                                                                                                          ,Bridgmohan Shaun                                                                                                       ,20.6,323,85.8,,
KEE,Fall 06,10/14/2006,4,Polytrack           ,CLM,25,8.5,56, ,N/A       ,12,4,Cointreau,2.5,Y,-5.5,47.12,102.9,9/13/2006,MTH,T,8.5,0,0,1,7,KEE,R,Hennessy,Shining Armor Stable and Humphrey Jr. G. Watts                                                                          ,Oliver Philip                                                                                                          ,Bejarano Rafael                                                                                                        ,72.2,4376.4,325,,
KEE,Fall 06,10/14/2006,5,Polytrack           ,ALW,NW1X,8.5,56, ,N/A       ,12,3,Sidcup,15.5,N,-13.5,46.88,102.56,9/16/2006,KD,T,12,0,0,0,11,KEE,R,Running Stag,Johnston Jr. Mrs. S.                                                                                                   ,Bindner Jr. Walter                                                                                                     ,Espinoza Victor                                                                                                        ,175.4,7436.2,728.6,,
KEE,Fall 06,10/14/2006,6,Polytrack           ,ALW,NW2X,7,56, ,N/A       ,9,5,Humorous Gal,5.5,N,-5,45.59,82.33,7/3/2006,CD,D,8.5,0,0,0,0,SKY,S,Distorted Humor,Bloch Randall Milner Phil Basso Keith and Seiler John                                                                   ,Wilkes Ian                                                                                                             ,Bejarano Rafael                                                                                                        ,94.4,3394.2,276.6,,
KEE,Fall 06,10/14/2006,7,Polytrack           ,STK,G3Thoroughbred Club of America S.,6,56, ,N/A       ,8,3,Malibu Mint,3.6,N,-1.75,44.95,68.71,9/23/2006,TP,AWS,6,1,1,0,3,KEE,S,Malibu Moon,Mulholland John R. and Martha Jane                                                                                      ,Chapman James                                                                                                          ,Kaenel Kyle                                                                                                            ,70,1231.8,663.2,,
KEE,Fall 06,10/14/2006,8,Turf                ,STK,G2First Lady S.,8,56, ,N/A       ,8,4,Gorella (FR),0.8,Y,-7,46.52,94.14,8/12/2006,AP,T,9.5,0,0,6,15,KEE,R,Grape Tree Road (GB),Schwartz Martin                                                                                                        ,Biancone Patrick                                                                                                       ,Leparoux Julien                                                                                                        ,9.6,229.4,26.2,,
KEE,Fall 06,10/14/2006,9,Turf                ,STK,G1Queen Elizabeth II Challenge Cup S.,9,56, ,N/A       ,11,9,Vacare,6.8,N,-1.5,48.57,108.42,9/9/2006,AP,T,9,0,0,3,3,KEE,R,Lear Fan,Lothenbach Stables Inc.                                                                                                 ,Block Chris                                                                                                            ,Marquez Jr. Carlos                                                                                                     ,106.2,5547.4,1507,,
