Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time,Dist,"# 
Starters",Comments (source: Pedigree Query)
2018,Justify,Scat Daddy,Stage Magic,Gronkowski,Hofburg,2:28.18,12 F,10,"TRIPLE CROWN WINNER, TRACK FAST"
2017,Tapwrit,Tapit,Appealing Zopie,Irish War Cry,Patch,2:30.02,12 F,11,"TRACK: FAST, M: HD-1-½"
2016,Creator,Tapit,Morena,Destin,Lani,2:28.51,12 F,13,Track: Fast; 13 Ran; Won By A Nose
2015,American Pharoah,Pioneerof The Nile,Littleprincessemma,Frosted,Keen Ice,2:26.65,12 F,8,"Track: Fast, Triple Crown Winner"
2014,Tonalist,Tapit,Settling Mist,Commissioner,Medal Count,2:28.52,12 F,11,Hd; 4th (Dh) California Chrome/Wicked Strong
2013,Palace Malice,Curlin,Palace Rumor,Oxbow,Orb,2:30.70,12 F,14,
2012,Union Rags,Dixie Union,Tempo,Paynter,Atigun,2:30.42,12 F,11,
2011,Ruler on Ice,Roman Ruler,Champagne Glow,Stay Thirsty,Brilliant Speed,2:30.88,12 F,12,Sy 6Th Animal Kingdom
2010,Drosselmeyer,Distorted Humor,Golden Ballet,Fly Down,First Dude,2:31.57,12 F,12,"Ft, 12R, M- ¾- Nk- 1½. 4th Game On Dude"
2009,Summer Bird,Birdstone,Hong Kong Squall,Dunkirk,Mine That Bird,2:27.54,12 F,13,Track: Fast
2008,Da'Tara,Tiznow,Torchera,Denis of Cork,Anak Nakal,2:29.65,12 F,9,"Dh 3rd /Readys Echo; 9Th(Last,Eased) Big Brown"
2007,Rags To Riches,Ap Indy,Better Than Honour,Curlin,Tiago,2:28.74,12 F,7,Track: Fast
2006,Jazil,Seeking The Gold,Better Than Honour,Bluegrass Cat,Sunriver,2:27.86,12 F,12,Track: Fast
2005,Afleet Alex,Northern Afleet,Maggy Hawk,Andromeda's Hero,Nolan's Cat,2:28.75,12 F,11,Career Finale. 7Th Giacomo
2004,Birdstone,Grindstone,Dear Birdie,Smarty Jones,Royal Assault,2:27.50,12 F,9,Smarty Jones Undefeated(8-8) No More
2003,Empire Maker,Unbridled,Toussaud,Ten Most Wanted,Funny Cide,2:28.26,12 F,6,Track Sloppy
2002,Sarava,Wild Again,Rhythm Of Life,Medaglia d'Oro,Sunday Break,2:29.71,12 F,11,Track: Fast. 8Th War Emblem
2001,Point Given,Thunder Gulch,Turkos Turn,A P Valentine,Monarchos,2:26.56,12 F,9,By 12¼ L.
2000,Commendable,Gone West,Bought Twice,Aptitude,Unshaded,2:31.19,12 F,11,No Ky Dy Or Preak. Winner Since 1970.
1999,Lemon Drop Kid,Kingmambo,Charming Lassie,Vision and Verse,Charismatic,2:27.88,12 F,12,"Charismatic Bd,Retired"
1998,Victory Gallop,Cryptoclearance,Victorious Lil,Real Quiet,Thomas Jo,2:29.16,12 F,11,"Fast, 11R, M-No, 6"
1997,Touch Gold,Deputy Minister,Passing Mood,Silver Charm,Free House,2:28.82,12 F,7,Track: Fast - 126 lbs
1996,Editor's Note,Forty Niner,Beware Of The Cat,Skip Away,My Flag ,2:28.96,12 F,14,Cavonnier Eased
1995,Thunder Gulch,Gulch,Line Of Thunder,Star Standard,Citadeed,2:32.02,12 F,11,Track: Fast - 126 lbs
1994,Tabasco Cat,Storm Cat,Barbicue Sauce,Go for Gin,Strodes Creek,2:26.82,12 F,6,Track: Fast - 126 lbs
