Year,Prior Race Track,Prior Race,Fin Pos,Winner,Sire,Dam,Damsire,$1 Odds,$2 Win,Fav,Choice,# Starters,# Prior Starts,Gr Stakes Start,Gr Stakes Win,Undefeated
1984,SA,Norfolk,1,Chief's Crown,Danzig,Six Crowns,Secretariat,$0.70,$3.40,Y,1,10,7,Y,Y,N
1985,Kee,Breeders' Futurity,1,Tasso,Fappiano,Ecstacism,What a Pleasure,$5.60,$13.80,N,3,13,6,Y,Y,N
1986,SA,Norfolk,1,Capote,Seattle Slew,Too Bald,Bald Eagle,$2.40,$6.80,Y,1,13,3,Y,Y,N
1987,SA,Norfolk,4,Success Express,Hold Your Peace,Au Printemps,Dancing Champ,$4.10,$10.20,N,4,13,6,Y,N,N
1988,Bel,Champagne,2,Is It True,Raja Baba,Roman Rockette,Proudest Roman,$9.20,$20.40,N,4,10,5,Y,N,N
1989,Bel,Champagne,2,Rhythm,Mr. Prospector,Dance Number,Northern Dancer,$2.60,$7.20,N,2,12,4,Y,N,N
1990,Bel,Champagne,1,Fly So Free,Time for a Change,Free to Fly,Stevward,$1.40,$4.80,Y,1,11,5,Y,Y,N
1991,Lch,Prix Jean-Luc Lagardère,1,Arazi,Blushing Groom (FR),Danseur Fableux,Northern Dancer,$2.10,$6.20,Y,1,14,7,Y,Y,N
1992,Arl,Arlington-Washington Futurity,1,Gilded Time,Timeless Moment,Gilded Lily,What a Pleasure,$2.00,$6.00,Y,1,13,3,Y,Y,Y
1993,SA,Allowance,1,Brocco,Kris S.,Anytime Miss,Aurelius II,$3.00,$8.00,N,2,11,2,N,N,N
1994,Bel,Champagne,1,Timber Country,Woodman,Fall Aspen,Pretense,$2.40,$6.80,Y,1,13,6,Y,Y,N
1995,Bel,Champagne,4,Unbridled's Song,Unbridled,Trolley Song,Caro (IRE),$5.20,$12.40,N,2,13,2,Y,N,N
1996,Kee,Breeders' Futurity,1,Boston Harbor,Capote,Harbor Springs,Vice Regent,$2.40,$6.80,N,2,10,6,Y,Y,N
1997,Kee,Breeders' Futurity,1,Favorite Trick,Phone Trick,Evil Elaine,Medieval Man,$1.20,$4.40,Y,1,8,7,Y,Y,Y
1998,Kee,Breeders' Futurity,2,Answer Lively,LIvely One,Twosies Answers,Two's a Plenty,$2.70,$7.40,Y,1,13,6,Y,N,N
1999,SA,Norfolk,2,Anees,Unbridled,Ivory Idol,Alydar,$30.30,$62.60,N,10,14,3,Y,N,N
2000,WO,Grey,1,Macho Uno,Holy Bull,Primal Force,Blushing Groom (FR),$6.10,$14.60,N,4,14,3,Y,Y,N
2001,New,Middle Park Stakes,1,Johannesburg,Hennessy,Myth,Ogygian,$7.20,$16.40,N,3,12,6,Y,Y,Y
2002,Tup,Kentucky Cup Juvenile,1,Vindication,Seattle Slew,Strawberry Reason,Strawberry Road (AUS),$4.10,$10.20,N,2,13,3,Y,Y,Y
2003,SA,Maiden Special Weight,1,Action This Day,Kris S.,Najecam,Trempolino,$26.80,$55.60,N,8,12,2,N,N,N
2004,Asc,Chesham ,3,Wilko,Awesome Again,Native Roots (IRE),Indian Ridge (IRE),$28.30,$58.60,N,7,8,10,N,N,N
2005,Dmr,Del Mar Futurity,1,Stevie Wonderboy,Stephen Got Even,Heat Lightening,Summer Squall,$4.50,$11.00,N,2,14,4,Y,Y,N
2006,Kee,Breeders' Futurity,3,Street Sense,Street Cry (IRE),Bedazzle,Dixieland Band,$15.20,$32.40,N,7,14,4,Y,N,N
2007,Bel,Champagne,1,War Pass,Cherokee Run,Vue,Mr. Prospector,$2.20,$6.40,Y,1,11,3,Y,Y,Y
2008,SA,Norfolk,2,Midshipman,Unbridled's Song,Fleet Lady,Avenue of Flags,$3.60,$9.20,N,2,12,3,Y,Y,N
2009,Milan,Gran Criterium,2,Vale of York (IRE),Invincible Spirit (IRE),Red Vale (IRE),Hailing,$30.60,$63.20,N,11,13,5,Y,N,N
2010,Bel,Champagne,1,Uncle Mo,Indian Charlie,Playa Maya,Arch,$1.40,$4.80,Y,1,10,2,Y,Y,Y
2011,Tup,Kentucky Cup Juvenile,1,Hansen,Tapit,Stormy Sunday,Sir Cat,$7.10,$16.20,N,3,14,2,N,N,Y
2012,Bel,Champagne,1,Shanghai Bobby,Harlan's Holiday,Steelin',Orientate,$1.30,$4.60,Y,1,9,4,Y,Y,Y
2013,Dmr,Maiden Special Weight,1,New Year's Day,Street Cry (IRE),Justwhistledixie,Dixie Union,$10.50,$23.00,N,5,13,2,N,N,N
2014,SA,FrontRunner,3,Texas Red,Afleet Alex,Ramatuelle (CHI),Jeune Homme,$13.90,$29.80,N,6,11,4,Y,N,N
2015,SA,FrontRunner,1,Nyquist,Uncle Mo,Seeking Gabrielle,Forestry,$4.70,$11.40,N,2,14,4,Y,Y,Y
2016,Kee,Breeders' Futurity,1,Classic Empire,Pioneerof the Nile,Sambucca Classic,Cat Thief,$4.50,$11.00,N,2,11,4,Y,Y,N
2017,Bel,Champagne,2,Good Magic,Curlin,Glinda the Good,Hard Spun,$11.50,$25.00,N,6,12,2,Y,N,N
2018,SA,American Pharoah,1,Game Winner,Candy Ride,Indyan Giving,A.P. Indy,$1.00,$4.00,Y,1,13,3,Y,Y,Y
