Year,Prior Race Track,Prior Race,Fin Pos,Winner,Sire,Dam,Damsire,$1 Odds,$2 Win,Fav,Choice,# Starters,# Prior Starts,Gr Stakes Start,Gr Stakes Win,Undefeated
1984,Aqu,Allowance,4,Outstandingly,Exclusive Native,La Mesa,Round Table,$22.80,$47.60,N,9,11,3,Y,N,N
1985,Phil ,Critical Mass,2,Twilight Ridge,Cox's Ridge,Waving Sky,Quibu,$0.60,$3.20,Y,1,12,3,Y,Y,N
1986,Crc,My Dear Girl,1,Brave Raj,Rajab,Bravest Yet,Bravo,$4.00,$10.00,N,3,12,7,Y,Y,N
1987,CD,Pocahontas,1,Epitome,Summing,Honest and True,Mr. Leader,$30.40,$62.80,N,7,12,7,Y,N,N
1988,Bel,Frizette,2,Open Mind,Deputy Minister,Stage Luck,Stage Door Johnny,$0.70,$3.40,Y,1,12,4,Y,N,N
1989,Bel,Frizette,2,Go For Wand,Deputy Minister,Obeah,Cyane,$2.50,$7.00,N,2,12,3,Y,N,N
1990,Bel,Frizette,1,Meadow Star,Meadowlake,Inreality Star,Reality,$0.20,$2.40,Y,1,13,6,Y,Y,Y
1991,SA,Oak Leaf,1,Pleasant Stage,Pleasant Colony,Meteor Stage,Stage Door Johnny,$5.80,$13.60,N,4,14,3,Y,Y,N
1992,Kee,Alcibiades,1,Eliza,Mt. Livermore,Darring Bidder,Bold Bidder,$1.20,$4.40,Y,1,12,4,Y,Y,N
1993,SA,Oak Leaf,1,Phone Chatter,Phone Trick,Passing My Way,Pass the Glass,$2.30,$6.60,N,3,8,5,Y,Y,N
1994,Bel,Frizette,1,Flanders,Seeking the Gold,Starlet Storm,Storm Bird,$0.40,$2.80,Y,1,13,4,Y,Y,N
1995,Bel,Frizette,2,My Flag,Easy Goer,Personal Ensign,Private Account,$3.50,$9.00,N,2,8,5,Y,N,N
1996,Bel,Frizette,1,Storm Song,Summer Squall,Hum Along,Fappiano,$2.85,$7.70,Y,1,7,6,Y,Y,N
1997,Kee,Alcibiades,1,Countess Diana,Deerhound,T.V. Countess,T.V. Commercials,$2.00,$6.00,Y,1,14,5,Y,Y,N
1998,Kee,Alcibiades,1,Silverbulletday,Silver Deputy,Rokeby Rose,Tom Rolfe,$0.80,$3.60,Y,1,10,5,Y,Y,N
1999,Kee,Alcibiades,3,Cash Run,Seeking the Gold,Shared Interest,Pleasant Colony,$32.50,$67.00,N,6,9,4,Y,N,N
2000,Arl,Arl-Wash Lassie,2,Caressing,Honour and Glory,Lovin Touch,Majestic Prince,$47.00,$96.00,N,12,12,4,Y,N,N
2001,Dmr,Del Mar Debutante,3,Tempera,A.P. Indy,Colour Chart,Mr. Prospector,$11.90,$25.80,N,6,9,4,Y,Y,N
2002,Bel,Frizette,1,Storm Flag Flying,Storm Cat,My Flag,Easy Goer,$0.80,$3.60,Y,1,10,3,Y,Y,Y
2003,SA,Oak Leaf,1,Halfbridled,Unbridled,Half Queen,Deputy Minister,$2.30,$6.60,Y,1,14,3,Y,Y,Y
2004,SA,Oak Leaf,1,Sweet Catomine,Storm Cat,Sweet Life,Kris S.,$2.30,$6.60,Y,1,12,3,Y,Y,N
2005,Bel,Matron,1,Folklore,Tiznow,Contrive,Storm Cat,$2.35,$6.70,Y,1,10,6,Y,Y,N
2006,WO,Summer Stakes,1,Dreaming of Anna,Rahy,Justenuffheart,Broad Brush,$2.60,$7.20,Y,1,14,3,Y,Y,Y
2007,Bel,Frizette,1,Indian Blessing,Indian Charlie,Shameful,Flying Chevron,$1.70,$5.40,Y,1,13,2,Y,Y,Y
2008,SA,Oak Leaf,1,Stardom Bound,Tapit,My White Corvette,Tarr Road,$1.60,$5.20,Y,1,13,4,Y,Y,N
2009,Kee,Alcibiades,2,She Be Wild,Offlee Wild,Trappings,Seeking the Gold,$7.40,$16.80,N,5,12,4,Y,Y,N
2010,Crc,My Dear Girl,1,Awesome Feather,Awesome of Course,Precious Feather,Gone West,$4.20,$10.40,Y,1,12,5,N,N,Y
2011,Bel,Frizette,1,My Miss Aurelia,Smart Strike,My Miss Storm,Sea of Secrets,$2.10,$6.20,Y,1,14,3,Y,Y,Y
2012,SA,Allowance,1,Beholder,Henny Hughes,Leslie's Lady,Tricky Creek,$0.60,$3.20,Y,1,6,4,Y,N,N
2013,Bel,Frizette,5,Ria Antonia,Rockport Harbor,Beer Baroness,Mr. Greely,$32.30,$66.60,N,10,10,4,Y,N,N
2014,Kee,Alcibiades,8,Take Charge Brandi,Giant's Causeway,Charming,Seeking the Gold,$61.70,$125.40,N,12,12,5,Y,N,N
2015,SA,Chandelier,1,Songbird,Medaglia d'Oro,Ivanavinalot,West Acre,$0.60,$3.20,Y,1,10,3,Y,Y,Y
2016,SA,Chandelier,4,Champagne Room,Broken Vow,Lucky to Be Me,Bernstein,$33.60,$69.20,N,11,12,4,Y,Y,N
2017,Bel,Frizette,2,Caledonia Road,Quality Road,Come a Callin,Dixie Union,$17.30,$36.60,N,6,13,2,Y,N,N
2018,Bel,Frizette,1,Jaywalk,Cross Traffic,Lady Pewitt,Orientate,$5.50,$13.00,N,4,10,4,Y,Y,N
