Winning Horse Name,Sire Name,Race Date,Track,Purse,Race Name,Grade,"Speed
Rating","Class 
Rating",,,,
America,A.P. Indy,01-01-15,Aqueduct,"$100,000",Affectionately S.,,103,119.7,,,,
Lutine Belle,Bellamy Road,01-01-15,Santa Anita Park,"$75,000",Blue Norther S.,,90,116.6,,,,
Majestic Affair,Majesticperfection,01-02-15,Aqueduct,"$100,000",Fred Cappy Capossela S.,,103,118.9,,,,
House Rules,Distorted Humor,01-02-15,Gulfstream Park,"$60,000",Bal Harbour H.,,100,119.6,,,,
Elnaawi,Street Sense,01-03-15,Laurel Park,"$100,000",Native Dancer S.,,106,122.5,,,,
Delaunay,Smoke Glacken,01-03-15,Fair Grounds,"$60,000",Bonapaw S.,,103,120.9,,,,
Star Pearl,Tapit,01-03-15,Laurel Park,"$100,000",Nellie Morse S.,,102,121.1,,,,
El Kabeir,Scat Daddy,01-03-15,Aqueduct,"$200,000",Jerome S.,3,101,120.9,,,,
Bluegrass Singer,Bluegrass Cat,01-03-15,Gulfstream Park,"$100,000",Mucho Macho Man S.,,101,120.2,,,,
Finnegans Wake,Powerscourt (GB),01-03-15,Santa Anita Park,"$200,000",San Gabriel S.,2,100,120.2,,,,
Barbados,Speightstown,01-03-15,Gulfstream Park,"$100,000",Spectacular Bid S.,,100,120,,,,
Never Stop Looking,Langfuhr,01-03-15,Laurel Park,"$100,000",Fire Plug S.,,97,119,,,,
Seduire,Elusive Quality,01-03-15,Santa Anita Park,"$200,000",Santa Ynez S.,2,96,121.4,,,,
Lady Sabelia,Majestic Warrior,01-03-15,Laurel Park,"$100,000",What A Summer S.,,96,120.9,,,,
Ekati's Phaeton,Tale of Ekati,01-03-15,Gulfstream Park,"$100,000",Old Hat S.,3,95,118.5,,,,
Awesome Flower,Flower Alley,01-03-15,Turfway Park,"$60,000",Wintergreen S.,,92,119.8,,,,
Night Prowler,Giant's Causeway,01-03-15,Gulfstream Park,"$100,000",Dania Beach S.,3,86,117,,,,
Devine Aida,Unbridled's Song,01-03-15,Gulfstream Park,"$100,000",Ginger Brew S.,,82,116.7,,,,
Shrinking Violet,Congaree,01-04-15,Santa Anita Park,"$200,000",Monrovia S.,2,96,118.6,,,,
Paulassilverlining,Ghostzapper,01-04-15,Aqueduct,"$100,000",Ruthless S.,,90,119.1,,,,
Wedding Toast,Street Sense,01-07-15,Gulfstream Park,"$60,000",Miami Shores H.,,98,120.7,,,,
Royal Song Dancer,Langfuhr,01-09-15,Delta Downs,"$75,000",By the Light S.,,81,114.7,,,,
Lea,First Samurai,01-10-15,Gulfstream Park,"$150,000",Hal's Hope S.,3,105,121.5,,,,
Bold Thunder,Bold N' Flashy,01-10-15,Tampa Bay Downs,"$100,000",Turf Dash S.,,105,118.5,,,,
Good Deed,Broken Vow,01-10-15,Fair Grounds,"$60,000",Pan Zareta S.,,102,119.6,,,,
Calculator,In Summation,01-10-15,Santa Anita Park,"$100,000",Sham S.,3,100,119.3,,,,
Mshawish,Medaglia d'Oro,01-10-15,Gulfstream Park,"$200,000",Ft. Lauderdale S.,2,99,120.5,,,,
Hoppertunity,Any Given Saturday,01-10-15,Santa Anita Park,"$200,000",San Pasqual S.,2,95,121,,,,
Parranda,English Channel,01-10-15,Gulfstream Park,"$150,000",Marshua's River S.,3,89,120.4,,,,
Control Stake,Discreetly Mine,01-10-15,Delta Downs,"$75,000",Big Drama S.,,85,115,,,,
Warren's Veneda,Affirmative,01-11-15,Santa Anita Park,"$75,000",Paseana S.,,90,120.4,,,,
Miss E Bar,Firejack,01-11-15,Sunland Park,"$85,000",LaSenora S.,,74,112.9,,,,
Promise Me Silver,Silver City,01-15-15,Oaklawn Park,"$100,000",Dixie Belle S.,,89,118.9,,,,
Carve,First Samurai,01-16-15,Oaklawn Park,"$100,000",Fifth Season S.,,103,122.2,,,,
Parc Monceau,Giant's Causeway,01-16-15,Delta Downs,"$70,000",El Dorado S.,,92,119.6,,,,
Overprepared,Quality Road,01-16-15,Aqueduct,"$100,000",Busanda S.,,88,116.6,,,,
Early Fantasy,Early Flyer,01-16-15,Sam Houston,"$50,000",Yellow Rose S.,,87,115.5,,,,
Expect Royalty,Valid Expectations,01-16-15,Sam Houston,"$50,000",San Jacinto S.,,85,114.8,,,,
Infectious,Valid Expectations,01-16-15,Sam Houston,"$50,000",Bara Lass S.,,78,112.8,,,,
Weekend Hideaway,Speightstown,01-17-15,Gulfstream Park,"$100,000",Florida Sunshine Millions Sprint S.,,110,121.5,,,,
Hard Aces,Hard Spun,01-17-15,Fair Grounds,"$75,000",Louisiana H.,,103,121,,,,
String King,Crowned King,01-17-15,Fair Grounds,"$125,000",Colonel E. R. Bradley H.,3,98,119,,,,
Sr. Quisqueyano,Exclusive Quality,01-17-15,Gulfstream Park,"$250,000",Florida Sunshine Millions Classic S.,,98,121.1,,,,
Dame Dorothy,Bernardini,01-17-15,Gulfstream Park,"$150,000",Florida Sunshine Millions Distaff S.,,97,121.3,,,,
Thegirlinthatsong,My Golden Song,01-17-15,Santa Anita Park,"$200,000",La Canada S.,2,97,120.8,,,,
I'm a Chatterbox,Munnings,01-17-15,Fair Grounds,"$125,000",Silverbulletday S.,,96,119.8,,,,
Power Ped,Powerscourt (GB),01-17-15,Turf Paradise,"$75,000",Cotton Fitzsimmons Mile H.,,95,119.5,,,,
Hip Four Sixtynine,Southern Image,01-17-15,Delta Downs,"$70,000",Fremont S.,,95,120.4,,,,
Mufajaah,Tapit,01-17-15,Oaklawn Park,"$100,000",Pippin S.,,95,119.4,,,,
Willet,Jump Start,01-17-15,Aqueduct,"$100,000",Interborough S.,,94,119.2,,,,
International Star,Fusaichi Pegasus,01-17-15,Fair Grounds,"$200,000",Lecomte S.,3,94,118.7,,,,
Ghost Is Clear,Ghostzapper,01-17-15,Turfway Park,"$60,000",Forego S.,,93,119.6,,,,
Rock and Glory,Rock Hard Ten,01-17-15,Turf Paradise,"$35,000",Glendale H.,,93,117,,,,
A M Milky Way,Elusive Bluff,01-17-15,Sam Houston,"$50,000",Groovy S.,,93,115.6,,,,
Notte d'Oro,Medaglia d'Oro,01-17-15,Fair Grounds,"$60,000",Marie G. Krantz Memorial H.,,91,118.2,,,,
Fanticola,Silent Name (JPN),01-17-15,Santa Anita Park,"$75,000",Megahertz S.,,90,118.5,,,,
