m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Abovetheinfluence,8/24/2011,"8, m, Yankee Victor - Unlimited High, by High Brite",L. Mikus,Unsound,"DNF $8,000 claimer (6F- DMR polytrack, 8/24/11)",???,,,,,,,,,,,,,,,,
Absolutlypositivly,10/1/2011,"8, g, Cee's Tizzy - Point Break, by Summing",M. Chew,Unsound,"5th $25,000 'n2L' claimer (8F turf - SA, 10/1/11)",???,,,,,,,,,,,,,,,,
A Cat Named Snipe,8/31/2011,"9, g, Sky Mesa - Irish Cherry, by Irish Open",S. Knapp,Unsound,"12th $8,000 claimer (6F - DMR polytrack, 8/31/11)",???,,,,,,,,,,,,,,,,
Ace High Flush,12/3/2011,"5, g, Awesome Gambler - Charmie's Secret, by Secret Hello",C. Dominguez,Sick,"6th $32,000 maiden claimer (4F - FPX, 9/16/11)",???,11/19/11 - SA - 5F - 1:04.80H,,,,,,,,,,,,,,,
Advantage Player,8/5/2011,"6, m, Bernstein - Regal Approval, by With Approval",P. Miller,Unsound,"3rd 'n1x' optional claimer (5F turf - DMR, 8/5/11)",???,,,,,,,,,,,,,,,,
Albano,5/7/2014,"3, c, Istan - Pocho's Dream Girl, by Fortunate Prospect",J. Jones,Illness,"5th Louisiana Derby (9F - FG, 3/29/14)",???,,,,,,,,,,,,,,,,
Alcala's Girl,3/18/2011,"8, m, Muqtarib - Sensational Memory, by Habitony",S. Fiscal,Unsound,"6th $2,000 'n2x' claimer (4.5F - LA, 3/18/11)",???,,,,,,,,,,,,,,,,
Allaboutdreams,11/24/2011,"5, h, Rockport Harbor - Cassidy, by Jolie's Halo",O. Jauregui,Unsound,"DNF 'n1x' allowance (8F - GG Tapeta, 11/24/11)",???,11/19/11 - GG - 4F - 49.40H,,,,,,,,,,,,,,,
All Squared Away,7/15/2013,"5, g, Bellamy Road - Squared, by Posse",P. Miller,Non-displaced condylar fracture right front ankle (surgery),"2nd Charles Whittingham (10F turf - BHP, 6/8/13)",???,,,,,,,,,,,,,,,,
Alpine Echo,3/31/2011,"6, m, Swiss Yodeler - Donerella, by Doneraile Court",P. Harrington,Unsound,"7th maiden special weight (5.5F - SA, 2/20/11)",???,,,,,,,,,,,,,,,,
Amazing Blonde,5/29/2011,"5, m, Century City - Suicidal Blonde, by Olympio",C. Treece,Unsound,"9th $40,000 maiden claimer (4.5F - HOL cushion track, 4/28/11)",???,12/10/11 - HOL - 5F - 1:03.60H,,,,,,,,,,,,,,,
Amazombie,4/8/2013,"8, g, Northern Afleet - Wilshe Amaze, by In Excess",W. Spawr,Quarter crack (missed 7-10 days) + Wrenched left ankle,"8th Breeders' Cup Sprint (6F - SA, 11/3/12)",???,3/24/13 - SA - 5F - 1:02.80H,,,,,,,,,,,,,,,
An Heir of Magic,2/4/2011,"10, g, Chief Seattle - Pocketful of Magic, by Mr. Greeley",B. McBride,Returned sore,"3rd $5,000 'n2y' claimer (8.5F - TAM, 2/3/11)",???,,,,,,,,,,,,,,,,
Antonia Autumn,6/13/2014,"5, m, Bernstein - Chipeta Springs, by Alydar",C. Clement,Undisclosed,"1st 'n2x' optional claimer (9F turf - GP, 2/21/14)",???,,,,,,,,,,,,,,,,
Bacchi,4/9/2012,"6, h, Tabacchi - Silver Meadow, by El Prado",S. Hernandez Jr.,"Cuts on knee, hock, stifle","DNF $10,000 'beaten' claimer (6F - AQU, 4/7/12)",???,3/30/12 - BEL training - 5F - 1:02.80BG,,,,,,,,,,,,,,,
Beholder,6/11/2014,"4, f, Henny Hughes - Leslie's Lady, by Tricky Creek",R. Mandella,Cut left hind pastern,"4th Ogden Phipps (8.5F - BEL, 6/7/14)",,,,,,,,,,,,,,,,,
Bensalem,2/27/2013,"11, g, Turtle Island - Peace Time Girl, by Buckskin",A. King,Suspensory,"3rd Bathwick Tyres Taunton Graduation Race (24F - Exe, 2/10/13)",Europe 2014,???,,,,,,,,,,,,,,,
Bern Identity,3/12/2013,"4, c, Bernstein - Maddalena, by Good and Tough",K. Breen,Unspecified?,"5th Holy Bull (8.5F - GP, 1/26/13)",2013,,,,,,,,,,,,,,,,
Beshabar,12/22/2011,"12, g, Flemensfirth - In Our Intrest, by Buckskin",T. Vaughan,Strained near tendon + Heat fetlock,"5th Hennessy Gold Cup (26.5F - NEW, 11/26/10)",2012/2013,,,,,,,,,,,,,,,,
B F Chang,6/18/2010,"6, m, Silver Train - Toss the Feather, by Dixie Union",R. Dutrow Jr.,Cuts (sent to Rood and Riddle Equine Hospital after flipping over outer rail),"2nd $50,000 maiden claimer (5F - CD, 5/30/10)",???,5/24/10 - CD - 5F - 1:01.20B,,,,,,,,,,,,,,,
B G Suavecito,11/24/2011,"6, h, Suave - Cupids Revenge, by Red Ransom",D. Balsamo,Lame (vanned off),"DNF $15,000 beaten claimer (6.5F - AQU, 11/24/11)",???,10/17/11 - AQU - 3F - 39.80B,,,,,,,,,,,,,,,
Big Buck's,12/17/2012,"11, g, Cadoudal - Buck's, by Le Glorieux",P. Nicholls,"""Tiny"" tear leg","1st Sportingbet Long Distance Hurdle (24F - NEW, 12/1/12)",Europe,,,,,,,,,,,,,,,,
Big Son of a Gun,2/10/2013,"6, g, Kafwain - Flashdance Missy, by Horse Chestnut",J. Caldwell,"Pulled up, walked off with injury","DNF $5,000 claimer (8F - OP, 2/10/13)",???,,,,,,,,,,,,,,,,
Big Wig,8/13/2010,"9, g, A.P. Indy - Ruthian, by Rahy",D. O'Neill,"Vanned off, Unsound","8th $40,000 claimer (8F turf - DMR, 8/12/10)",???,,,,,,,,,,,,,,,,
Black Onyx,5/3/2013,"4, c, Rock Hard Ten - Kalahari Cat, by Cape Town",K. Breen,Hairline fracture left front ankle (no surgery) + Ankle,"1st Spiral (9F polytrack - TP, 3/23/13)",,4/27/13 - CD - 4F - 48.60B,,,,,,,,,,,,,,,
Bond Holder,2/19/2014,"3, c, Mineshaft - Cielo Girl, by Conquistador Cielo",D. O'Neill,Body sore + Foot abscess,"4th CashCall Futurity (8.5F - BHP cushion track, 12/14/13)",???,,,,,,,,,,,,,,,,
Burning Flirt,4/23/2011,"7, m, Burning Roma - Short Skirt Flirt, by Pentelicus",M. Thomas,Lame   ,"2nd $8,000 'n2L' claimer (8.5F - TAM, 4/9/11)",???,,,,,,,,,,,,,,,,
Busoni,8/21/2011,"6, h, Littleexpectations - Let Me Guess, by Sezyou",A. Macias,Vet List,,???,8/9/11 - TTC - 5F - 1:06.00BG,,,,,,,,,,,,,,,
Cahill's Ride,6/29/2011,"6, m, Cahill Road - Summer Ride, by Old Trieste",D. Markle,Undisclosed after paddock accident,"11th $7,500 maiden claimer (5.5F - EMD, 6/11/11)",???,5/22/11 - EMD - 4F - 47.60H,,,,,,,,,,,,,,,
California Chrome,6/8/2014,"3, c, Lucky Pulpit - Love the Chase, by Not For Love",A. Sherman,Grabbed quarter right front hoof,"4th Belmont (12F - BEL, 6/7/14)",,,,,,,,,,,,,,,,,
Caracortado,11/2/2013,"7, g, Cat Dreams - Mons Venus, by Maria's Mon",M. Machowsky,Abscess right front foot,"4th Eddie D Stakes (A6.5F turf - SA, 9/27/13)",Hollywood Turf Express - December 8,10/27/13 - SA (turf) - 4F - 47.80H,,,,,,,,,,,,,,,
Celtic New Year,10/27/2011,"7, g, North Light - Reggae Queen, by Dynaformer",J. Sadler ,"“He wasn’t right,” - J. Sadler",,,,,,,,,,,,,,,,,,
Celtic Princess,8/16/2011,"10, m, Public Purse - Exotic Dinner, by Formal Dinner",A. Avila,Temperature + Splint bone foreleg (surgery),"1st Royal Heroine Mile (8F turf - HOL, 7/4/11)",Winter 2011,8/7/11 - DMR - 6F - 1:13.40H,,,,,,,,,,,,,,,
Centralinteligence,11/1/2013,"6, g, Smarty Jones - Shootforthestars, by Seattle Slew",R. Ellis,Fractured lateral condylar distal cannon bone fetlock joint right front leg (surgery),"DNF Breeders' Cup Dirt Mile (8F - SA, 11/1/13)",???,,,,,,,,,,,,,,,,
Champ Pegasus,11/15/2011,"8, h, Fusaichi Pegasus - Salt Champ, by Salt Lake",R. Mandella,Cracked cannon bone (surgery to insert screw),"2nd Clement L. Hirsch (10F turf - SA, 10/2/11)",???,9/28/11 - SA - 5F - 1:01.40H,,,,,,,,,,,,,,,
Cheyann Belief,12/19/2010,"6, h, D'wildcat - Cheyann Scout, by Way West",S. Margolis,Chipped knee (surgery),"1st 'n1x' allowance (6.5F - CD, 10/31/10)",???,7/20/11 - SAR - 4F - 50.76B,,,,,,,,,,,,,,,
Cigar Street,2/3/2014,"5, h, Street Sense - Arcadiana, by Deputy Minister",W. Mott,Injured + Setback,"1st Skip Away (9.5F - GP, 3/30/13)",???,?,,,,,,,,,,,,,,,
Coneygree,3/10/2013,"7, g, Karinga Bay - Plaid Maid, by Executive Perk",M. Bradstock,Lame behind,"3rd Classic Novices' Hurdle (20F - CHEL, 1/26/13)",EUROPE,,,,,,,,,,,,,,,,
Country Flair,12/31/2011,"6, m, Country Be Gold - Sanadel, by Stack",M. Thomas,Off left fore,"9th $8,000 'n3L' claimer (8.17F - TAM, 12/17/11)",???,12/10/11 - 4F - 50.00B,,,,,,,,,,,,,,,
Crop Report,4/20/2013,"5, h, Medaglia d'Oro - Amarillo, by Crafty Prospector",H. Motion/R. Mettee,Bled + Injured,"1st Rushaway (8.5F - TP polytrack, 3/23/13)",???,,,,,,,,,,,,,,,,
Cross Traffic,10/2/2013,"5, h, Unbridled's Song - Stop Traffic, by Cure the Blues",T. Pletcher,Shin,"7th Jockey Club Gold Cup (10F - BEL, 9/28/13)",???,,,,,,,,,,,,,,,,
Cyber Secret,2/12/2014,"5, h, Broken Vow - Stomping, by Dixieland Band",L. Whiting,Shoe boil,"2nd Fifth Season (8.5F - OP, 1/11/14)",???,,,,,,,,,,,,,,,,
Dark Cove,9/7/2013,"8, h, Medaglia d'Oro - Crystal Cove, by Kris S.",M. Maker,Tendon,1st Stars N Stripes (12F turf - 7/13/13),???,?,,,,,,,,,,,,,,,
Dark Stranger,8/14/2012,"5, h, Stormy Atlantic - Vivacious Vivian, by Distorted Humor",J. Gosden,Lame,"2nd Atkinson Bolton Handicap (10F turf - NEW, 7/21/12)",EUROPE?,,,,,,,,,,,,,,,,
Demonic,12/27/2013,"4, c, Bernardini - Sincerely, by Meadowlake",J. Sadler ,Quarter crack,"5th allowance (6.5F - BHP cushion track, 12/1/13)",???,12/19/13 - BHP - 6F - 1:11.60H,,,,,,,,,,,,,,,
De Rigueur,6/24/2013,"6, g, Montjeu - Exclusive, by Polar Falcon",M. Botti,Injured,"1st BetVictor Royal Ascot No Lose Hughes Stakes (16F turf - HAY, 6/8/13)",Europe,,,,,,,,,,,,,,,,
Disposablepleasure,5/31/2013,"5, m, Giacomo - My Canada, by With Approval",T. Pletcher,Fractured cannon bone left fore,"4th Ogden Phipps (8.5F - BEL, 5/27/13)",???,,,,,,,,,,,,,,,,
Dona Raquel,9/17/2011,"5, m, Montbrook - Madame Dubai, by E Dubai",M. Cuito,Vet's list 9/17/11,,???,9/8/11 - CRC - 5F - 1:03.00B,,,,,,,,,,,,,,,
Don't Tell Sophia,4/1/2014,"6, m, Congaree - Lost Expectations, by Valid Expectations",P. Sims,Feet,"3rd Azeri (8.5F - OP, 3/15/14)",?,,,,,,,,,,,,,,,,
Don't Worry Will,12/29/2011,"4, c, Shakespeare - Blushing Bribe, by Red Ransom",C. Stewart,Vet's list 12/29/11,,???,11/27/11 - TAM - 5F - 1:03.20BG,,,,,,,,,,,,,,,
Easy Ten,1/17/2014,"3, c, Rock Hard Ten - Abby's Not Normal, by Bold Badgett",T. Yakteen,Equine herpesvirus,Unraced,???,,,,,,,,,,,,,,,,
Empiracle,3/9/2013,"7, g, Kris Kin - Mogul Shine, by Good Thyne",J. Scott,Undisclosed,"1st NH Flat Race (16F - HUNT, 10/16/12)",EUROPE, ,,,,,,,,,,,,,,,
Exit Stage Left,2/8/2014,"3, c, Noonmark - Hana J, by Peaks and Valleys",J. Hollendorfer,Torn tendon right front,"1st California Derby (8.5F - GG Tapeta, 1/18/14)",2015,,,,,,,,,,,,,,,,
Fetish,7/6/2011,"5, h, Candy Ride - Ruby Friday, by Distinctive Pro",,Bled workout 7/6/11,,,9/1/11 - CD - 4F - 50.20B,,,,,,,,,,,,,,,
Flashy Gray,5/1/2013,"4, f, Flashy Bull - Pleasure Cat, by Cat's Career",W. Mott,Bruised right front heel + Quarter crack,"2nd Fair Grounds Oaks (8.5F - FG, 3/30/13)",???,4/27/13 - CD - 5F - 1:01.00B,,,,,,,,,,,,,,,
Flotilla,10/24/2013,"4, f, Mizzen Mast - Louvain, by Sinndar",M. Delzangles,Bruised foot,"6th Prix du Moulin de Longchamp (8F turf - LONGCHAMP, 9/15/13)",???,,,,,,,,,,,,,,,,
Gallant Son,1/1/2014,"8, h, Malabar Gold - Explicity, by Exploit",F. Lucarelli,Grabbled quarter,"3rd Daytona (A6.5F turf - SA, 12/28/13)",???,,,,,,,,,,,,,,,,
Get Serious,5/24/2013,"10, g, City Zip - Java Gal, by Java Gold",P. McBurney,Wrenched ankle,"6th optional claimer (8F turf - GP, 3/3/13)",???,,,,,,,,,,,,,,,,
Ghost Mistress,9/15/2010,"6, m, Ghostzapper - Gijima, by Red Ransom",D. Vella,Undisclosed,"1st maiden special weight (8.32F - WO polytrack, 8/26/10)",2011,,,,,,,,,,,,,,,,
Gimmeakiss,3/12/2011,"7, m, Gimmeawink - Honey Jade, by Jade Hunter",B. Clouston III,Vet's list 3/12/11,,???,,,,,,,,,,,,,,,,
Gimmearoutine,12/4/2011,"9, g, Eltish - Marbelous Routine, by Pentelicus",L. Arterburn,Bowed left fore,"DNF $5,000 'N2Y' claimer (6.5F - TAM, 12/3/11)",???,11/21/11 - TAM - 4F - 49.20B,,,,,,,,,,,,,,,
Global Hottie,12/21/2013,"3, f, Dixie Chatter - Sonora Desert, by Storm Cat",B. Baffert,Temperature,"1st SMSW (6.5F- BHP cushion track, 11/17/13)",???,,,,,,,,,,,,,,,,
Go Bro,11/12/2013,"3, c, Proud Citizen - Six Sexy Sisters, by Langfuhr",M. Keogh,Ringworm,"2nd Summer (8F turf - WO, 9/14/13)",Fair Grounds,10/15/13 - WO training - 4F - 48.60B,,,,,,,,,,,,,,,
Gogi ,7/20/2011,"5, m, Swiss Yodeler - Self Taught, by Cee's Tizzy",M. Harrington,Undisclosed,"4th Cinderella (5.5F - HOL cushion track, 6/11/11)",???,7/16/11 - DMR - 4F - 47.60H,,,,,,,,,,,,,,,
Goldenexpectations,2/28/2012,"5, h, Littleexpectations - Golden Monarch, by Wavering Monarch",R. Morse/S. Asmussen,Left foreleg,"DNF 7.5K 'n2L' claimer (5.5F - OP, 2/26/12)",???,2/20/12 - OP - 4F - 51.80B,,,,,,,,,,,,,,,
Goldsville,1/5/2011,"9, h, Successful Appeal - House d'Or, by Housebuster",M. Hushion,Undisclosed,"5th Joseph French Memorial (8.32F - DEL, 5/29/10)",???,3/5/12/ - HOL - 4F - 50.60H,,,,,,,,,,,,,,,
Grandeur,10/25/2013,"4, c, Unbridled's Song - Dream Supreme, by Seeking the Gold",J. Noseda,Fever,"1st Greene King Foundation Stakes (10F turf - GOODWOOD, 9/25/13)",EUROPE,,,,,,,,,,,,,,,,
