Trainer,Starts,Win,Place,Show,% Win,% ITM
Todd Pletcher,22,6,5,2,27.27%,59.09%
Chad Brown,22,3,7,4,13.64%,63.64%
Mark Casse,14,2,3,3,14.29%,57.14%
William Mott,13,1,3,0,7.69%,30.77%
Rudy Rodriguez,10,2,2,3,20.00%,70.00%
D. Lukas,10,0,0,0,0.00%,0.00%
Jeremiah Englehart,9,1,3,0,11.11%,44.44%
Wesley Ward,8,3,0,1,37.50%,50.00%
Kiaran McLaughlin,8,2,0,2,25.00%,50.00%
Brad Cox,8,1,1,2,12.50%,50.00%
Michael Maker,7,1,0,0,14.29%,14.29%
Dominick Schettino,7,1,0,1,14.29%,28.57%
Gary Contessa,7,0,1,0,0.00%,14.29%
Steven Asmussen,6,1,2,0,16.67%,50.00%
Jaime Mejia,6,0,0,0,0.00%,0.00%
John Kimmel,6,0,0,0,0.00%,0.00%
Thomas Morley,6,0,0,1,0.00%,16.67%
Christophe Clement,5,1,1,1,20.00%,60.00%
George Weaver,5,1,1,0,20.00%,40.00%
Nicholas Zito,5,0,0,0,0.00%,0.00%
H. Motion,5,0,0,2,0.00%,40.00%
Linda Rice,5,0,1,0,0.00%,20.00%
Chad Summers,5,0,0,0,0.00%,0.00%
Claude McGaughey III,5,0,1,1,0.00%,40.00%
Kenneth McPeek,4,1,0,0,25.00%,25.00%
"Richard Violette, Jr.",4,1,1,0,25.00%,50.00%
Danny Gargan,4,1,0,0,25.00%,25.00%
"George Arnold, II",4,0,0,1,0.00%,25.00%
Gary Sciacca,4,0,0,0,0.00%,0.00%
Philip Serpe,3,1,0,2,33.33%,100.00%
David Donk,3,1,0,1,33.33%,66.67%
Charlton Baker,3,1,0,0,33.33%,33.33%
Ian Wilkes,3,0,1,0,0.00%,33.33%
Thomas Bush,3,0,2,0,0.00%,66.67%
Michelle Nevin,3,0,0,0,0.00%,0.00%
Michael Dilger,2,1,0,0,50.00%,50.00%
Ralph Nicks,2,1,0,0,50.00%,50.00%
Michael Trombetta,2,0,0,0,0.00%,0.00%
"Albert Stall, Jr.",2,0,0,1,0.00%,50.00%
"John Terranova, II",2,0,1,0,0.00%,50.00%
Chris Englehart,2,0,1,0,0.00%,50.00%
Anthony Dutrow,2,0,1,1,0.00%,100.00%
Kelly Breen,2,0,0,0,0.00%,0.00%
Peter Pugh,2,0,0,0,0.00%,0.00%
Carlos Martin,2,0,0,0,0.00%,0.00%
Raymond Handal,2,0,1,0,0.00%,50.00%
Bruce Brown,2,0,0,0,0.00%,0.00%
Brian Lynch,2,0,0,0,0.00%,0.00%
Timothy Hills,2,0,0,0,0.00%,0.00%
Dallas Stewart,2,0,1,0,0.00%,50.00%
Joe Sharp,1,1,0,0,100.00%,100.00%
James Ryerson,1,1,0,0,100.00%,100.00%
Thomas Proctor,1,0,0,0,0.00%,0.00%
"Robert Falcone, Jr.",1,0,0,0,0.00%,0.00%
"Archibald Kingsley, Jr.",1,0,0,0,0.00%,0.00%
Roy Lerman,1,0,1,0,0.00%,100.00%
Randi Persaud,1,0,0,0,0.00%,0.00%
Horacio DePaz,1,0,0,0,0.00%,0.00%
Ron Moquett,1,0,0,0,0.00%,0.00%
Jorge Abreu,1,0,0,1,0.00%,100.00%
Carl Domino,1,0,0,0,0.00%,0.00%
Leah Gyarmati,1,0,0,0,0.00%,0.00%
Robert Ribaudo,1,0,0,0,0.00%,0.00%
Thomas Albertrani,1,0,0,0,0.00%,0.00%
Larry Rivelli,1,0,0,0,0.00%,0.00%
Thomas Amoss,1,0,0,0,0.00%,0.00%
M. Ferraro,1,0,0,0,0.00%,0.00%
W. Calhoun,1,0,0,0,0.00%,0.00%
Bruce Levine,1,0,0,1,0.00%,100.00%
Arthur Magnuson,1,0,0,0,0.00%,0.00%
Michael Miceli,1,0,1,0,0.00%,100.00%
James Jerkens,1,0,0,0,0.00%,0.00%
Russell Cash,1,0,0,0,0.00%,0.00%
Mark Hennig,1,0,0,0,0.00%,0.00%
Arnaud Delacour,1,0,0,0,0.00%,0.00%
Michael Stidham,1,0,0,0,0.00%,0.00%
Edward Barker,1,0,0,0,0.00%,0.00%
Joseph Orseno,1,0,0,0,0.00%,0.00%
Eduardo Jones,1,0,0,0,0.00%,0.00%
Eddie Kenneally,1,0,0,0,0.00%,0.00%
Niall Saville,1,0,0,0,0.00%,0.00%
Michael Mareina,1,0,0,0,0.00%,0.00%
Sarah O'Brien,1,0,0,0,0.00%,0.00%
Chloe Bradley,1,0,0,0,0.00%,0.00%
LeRoy Jolley,1,0,0,0,0.00%,0.00%
Wayne Catalano,1,0,0,1,0.00%,100.00%
James Toner,1,0,0,0,0.00%,0.00%
Bart Hone,1,0,1,0,0.00%,100.00%
Gary Gullo,1,0,0,0,0.00%,0.00%
Dale Romans,1,0,0,0,0.00%,0.00%
Abigail Adsit,1,0,0,0,0.00%,0.00%
Ingrid Mason,1,0,0,0,0.00%,0.00%
H. Bond,1,0,0,0,0.00%,0.00%
Carl Deville,1,0,0,0,0.00%,0.00%
Marialice Coffey,1,0,0,0,0.00%,0.00%
Kelly Rubley,1,0,0,0,0.00%,0.00%
John Morrison,1,0,0,0,0.00%,0.00%
