Trainer,Starts,Win,Place,Show,% Win,% ITM
Chad Brown,36,10,6,3,27.78%,52.78%
Todd Pletcher,24,7,4,3,29.17%,58.33%
William Mott,16,3,1,2,18.75%,37.50%
Kiaran McLaughlin,16,2,1,1,12.50%,25.00%
Mark Casse,12,2,0,1,16.67%,25.00%
H. Bond,10,1,4,1,10.00%,60.00%
Christophe Clement,10,0,3,0,0.00%,30.00%
Jason Servis,9,4,1,0,44.44%,55.56%
George Weaver,9,3,1,1,33.33%,55.56%
Linda Rice,8,3,0,2,37.50%,62.50%
Wesley Ward,8,1,1,1,12.50%,37.50%
Rudy Rodriguez,8,1,1,1,12.50%,37.50%
Robertino Diodoro,7,0,3,0,0.00%,42.86%
Gary Contessa,7,0,0,0,0.00%,0.00%
Michelle Nevin,6,2,0,0,33.33%,33.33%
Charlton Baker,6,1,1,1,16.67%,50.00%
Brian Lynch,6,1,1,0,16.67%,33.33%
Michael Maker,6,0,0,0,0.00%,0.00%
Thomas Albertrani,6,0,0,1,0.00%,16.67%
Ron Moquett,6,0,0,1,0.00%,16.67%
Mark Hennig,5,1,1,0,20.00%,40.00%
"John Terranova, II",5,1,2,0,20.00%,60.00%
Barclay Tagg,4,2,0,0,50.00%,50.00%
David Cannizzo,4,1,1,1,25.00%,75.00%
Rodrigo Ubillo,4,0,1,0,0.00%,25.00%
Danny Gargan,4,0,2,1,0.00%,75.00%
H. Motion,4,0,0,1,0.00%,25.00%
Ralph Nicks,4,0,0,1,0.00%,25.00%
Jorge Abreu,4,0,0,1,0.00%,25.00%
Thomas Proctor,4,0,0,2,0.00%,50.00%
David Donk,4,0,0,1,0.00%,25.00%
Chris Englehart,4,0,1,0,0.00%,25.00%
Jeremiah Englehart,4,0,0,2,0.00%,50.00%
Philip Serpe,4,0,0,1,0.00%,25.00%
James Jerkens,3,2,0,0,66.67%,66.67%
Carlos Martin,3,1,1,0,33.33%,66.67%
Claude McGaughey III,3,1,0,0,33.33%,33.33%
Gary Gullo,3,1,0,0,33.33%,33.33%
Leah Gyarmati,3,0,0,0,0.00%,0.00%
"John Toscano, Jr.",3,0,0,0,0.00%,0.00%
Dale Romans,3,0,0,1,0.00%,33.33%
Brad Cox,3,0,0,0,0.00%,0.00%
Steven Asmussen,3,0,1,0,0.00%,33.33%
"Robert Falcone, Jr.",3,0,0,0,0.00%,0.00%
Anthony Dutrow,3,0,0,0,0.00%,0.00%
A. Avila,3,0,0,2,0.00%,66.67%
Niall Saville,3,0,0,0,0.00%,0.00%
Nicholas Zito,3,0,0,0,0.00%,0.00%
Thomas Bush,3,0,0,0,0.00%,0.00%
Kenneth McPeek,3,0,0,0,0.00%,0.00%
David Jacobson,3,0,0,1,0.00%,33.33%
Lacey Gaudet,3,0,0,1,0.00%,33.33%
Brendan Walsh,2,1,0,0,50.00%,50.00%
Naipaul Chatterpaul,2,1,0,0,50.00%,50.00%
Bruce Brown,2,0,0,0,0.00%,0.00%
Michael Dickinson,2,0,1,0,0.00%,50.00%
Steve Klesaris,2,0,0,0,0.00%,0.00%
Carl Domino,2,0,0,0,0.00%,0.00%
Richard Metivier,2,0,0,0,0.00%,0.00%
Thomas Morley,2,0,0,0,0.00%,0.00%
Marialice Coffey,2,0,0,0,0.00%,0.00%
James Ryerson,2,0,0,0,0.00%,0.00%
Larry Rivelli,2,0,0,2,0.00%,100.00%
Robert Barbara,2,0,1,0,0.00%,50.00%
Richard Schosberg,2,0,0,0,0.00%,0.00%
John Kimmel,2,0,0,1,0.00%,50.00%
Leo O'Brien,2,0,0,0,0.00%,0.00%
Joe Sharp,2,0,1,0,0.00%,50.00%
"Ollie Figgins, III",1,1,0,0,100.00%,100.00%
Horacio DePaz,1,1,0,0,100.00%,100.00%
Anthony Quartarolo,1,1,0,0,100.00%,100.00%
Dallas Stewart,1,1,0,0,100.00%,100.00%
