Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time
2018,Justify,Scat Daddy,Stage Magic,Good Magic,Audible,02:04.2
2017,Always Dreaming,Bodemeister,Above Perfection,Looking at Lee,Battle of Midway,02:03.6
2016,Nyquist,Uncle Mo,Seeking Gabrielle,Exaggerator,Gun Runner,02:01.3
2015,American Pharoah,Pioneerof The Nile,Littleprincessemma,Firing Line,Dortmund,02:03.0
2014,California Chrome,Lucky Pulpit,Love The Chase,Commanding Curve,Danza,2:04:06
2013,Orb,Malibu Moon,Lady Liberty,Golden Soul,Revolutionary,02:02.9
2012,I'll Have Another,Flower Alley,Archs Gal Edith,Bodemeister,Dullahan,02:01.8
2011,Animal Kingdom,Leroidesanimaux,Dalicia,Nehro,Mucho Macho Man,02:02.0
2010,Super Saver,Marias Mon,Supercharger,Ice Box,Paddy O'prado,02:04.5
2009,Mine That Bird,Birdstone,Mining My Own,Pioneerof The Nile,Musket Man,02:02.4
2008,Big Brown,Boundary,Mien,Eight Belles,Denis Of Cork,02:01.8
2007,Street Sense,Street Cry,Bedazzle,Hard Spun,Curlin,02:02.2
2006,Barbaro,Dynaformer,La Ville Rouge,Bluegrass Cat,Steppenwolfer,02:01.4
2005,Giacomo,Holy Bull,Set Them Free,Closing Argument,Afleet Alex,02:02.8
2004,Smarty Jones,Elusive Quality,Ill Get Along,Lion Heart,Imperialism,02:04.1
2003,Funny Cide,Distorted Humor,Belles Good Cide,Empire Maker,Peace Rules,02:01.2
2002,War Emblem,Our Emblem,Sweetest Lady,Proud Citizen,Perfect Drift,02:01.1
2001,Monarchos,Marias Mon,Regal Band,Invisible Ink,Congaree,02:00.0
2000,Fusaichi Pegasus,Mr Prospector,Angel Fever,Aptitude,Impeachment,02:01.1
1999,Charismatic,Summer Squall,Bali Babe,Menifee,Cat Thief,02:03.3
1998,Real Quiet,Quiet American,Really Blue,Victory Gallop,Indian Charlie,02:02.4
1997,Silver Charm,Silver Buck,Bonnies Poker,Captain Bodgit,Free House,02:02.4
1996,Grindstone,Unbridled,Buzz My Bell,Cavonnier,Prince Of Thieves,02:01.1
1995,Thunder Gulch,Gulch,Line Of Thunder,Tejano Run,Timber Country,02:01.3
1994,Go For Gin,Cormorant,Never Knock,Strodes Creek,Blumin Affair,02:03.7
1993,Sea Hero,Polish Navy,Glowing Tribute,Prairie Bayou,Wild Gale,02:02.4
1992,Lil E Tee,At The Threshold,Eileens Moment,Casual Lies,Dance Floor,02:03.0
1991,Strike The Gold,Alydar,Majestic Gold,Best Pal,Mane Minister,02:03.1
1990,Unbridled,Fappiano,Gana Facil,Summer Squall,Pleasant Tap,02:02.0
1989,Sunday Silence,Halo,Wishing Well,Easy Goer,Awe Inspiring,02:05.0
1988,Winning Colors,Caro,All Rainbows,Forty Niner,Risen Star,02:02.2
1987,Alysheba,Alydar,Bel Sheba,Bet Twice,Avies Copy,02:03.4
1986,Ferdinand,Nijinsky,Banja Luka,Bold Arrangement,Broad Brush,02:02.8
1985,Spend A Buck,Buckaroo,Belle De Jour,Stephans Odyssey,Chiefs Crown,02:00.2
1984,Swale,Seattle Slew,Tuerta,Coax Me Chad,At The Threshold,02:02.4
1983,Sunnys Halo,Halo,Mostly Sunny,Desert Wine,Caveat,02:02.2
1982,Gato Del Sol,Cougar,Peacefully,Laser Light,Reinvested,02:02.4
1981,Pleasant Colony,His Majesty,Sun Colony,Woodchopper,Partez,02:02.0
1980,Genuine Risk,Exclusive Native,Virtuous,Rumbo,Jaklin Klugman,02:02.0
1979,Spectacular Bid,Bold Bidder,Spectacular,General Assembly,Golden Act,02:02.4
1978,Affirmed,Exclusive Native,Wont Tell You,Alydar,Believe It,02:01.2
1977,Seattle Slew,Bold Reasoning,My Charmer,Run Dusty Run,Sanhedrin,02:02.2
1976,Bold Forbes,Irish Castle,Comely Nell,Honest Pleasure,Elocutionist,02:01.6
1975,Foolish Pleasure,What A Pleasure,Fool-Me-Not,Avatar,Diabolo,02:02.0
1974,Cannonade,Bold Bidder,Queen Sucree,Hudson County,Agitate,02:04.0
1973,Secretariat,Bold Ruler,Somethingroyal,Sham,Our Native,01:59.4
1972,Riva Ridge,First Landing,Iberia,No Le Hace,Hold Your Peace,02:01.8
1971,Canonero,Pretendre,Dixieland,Jim French,Bold Reason,02:03.2
1970,Dust Commander,Bold Commander,Dust Storm,My Dad George,High Echelon,02:03.4
1969,Majestic Prince,Raise A Native,Gay Hostess,Arts And Letters,Dike,02:01.8
