Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time
2018,Justify,Scat Daddy,Stage Magic,Bravazo,Tenfold,01:55.9
2017,Cloud Computing,Macleans Music,Quick Temper,Classic Empire,Senior Investment,01:56.0
2016,Exaggerator,Curlin,Dawn Raid,Cherry Wine,Nyquist,01:58.3
2015,American Pharoah,Pioneerof The Nile,Littleprincessemma,Tale Of Verve,Divining Rod,01:58.5
2014,California Chrome,Lucky Pulpit,Love The Chase,Ride On Curlin,Social Inclusion,01:54.8
2013,Oxbow,Awesome Again,Tizamazing,Itsmyluckyday,Mylute,01:57.5
2012,I'll Have Another,Flower Alley,Archs Gal Edith,Bodemeister,Creative Cause,01:55.9
2011,Shackleford,Forestry,Oatsee,Animal Kingdom,Astrology11,01:56.5
2010,Lookin At Lucky,Smart Strike,Private Feeling,First Dude,Jackson Bend,01:55.5
2009,Rachel Alexandra,Medaglia Doro,Lotta Kim,Mine That Bird,Musket Man,01:55.1
2008,Big Brown,Boundary,Mien,Macho Again,Icabad Crane,01:54.8
2007,Curlin,Smart Strike,Sherriffs Deputy,Street Sense,Hard Spun,01:53.5
2006,Bernardini,Ap Indy,Cara Rafaela,Sweetnorthernsaint,Hemingways Key,01:54.6
2005,Afleet Alex,Northern Afleet,Maggy Hawk,Scrappy T,Giacomo,01:55.0
2004,Smarty Jones,Elusive Quality,Ill Get Along,Rock Hard Ten,Eddington,01:55.6
2003,Funny Cide,Distorted Humor,Belles Good Cide,Midway Road,Scrimshaw,1:56:01
2002,War Emblem,Our Emblem,Sweetest Lady,Magic Weisner,Proud Citizen,01:56.4
2001,Point Given,Thunder Gulch,Turkos Turn,A P Valentine,Congaree,01:55.5
2000,Red Bullet,Unbridled,Cargo,Fusaichi Pegasus,Impeachment,01:56.0
1999,Charismatic,Summer Squall,Bali Babe,Menifee,Badge,01:55.3
1998,Real Quiet,Quiet American,Really Blue,Victory Gallop,Classic Cat,01:54.8
1997,Silver Charm,Silver Buck,Bonnies Poker,Free House,Captain Bodgit,01:54.8
1996,Louis Quatorze,Sovereign Dancer,On To Royalty,Skip Away,Editors Note,01:53.4
1995,Timber Country,Woodman,Fall Aspen,Olivers Twist,Thunder Gulch,01:54.5
1994,Tabasco Cat,Storm Cat,Barbicue Sauce,Go For Gin,Concern,01:56.5
1993,Prairie Bayou,Little Missouri,Whiffling,Cherokee Run,El Bakan,01:56.6
1992,Pine Bluff,Danzig,Rowdy Angel,Alydeed,Casual Lies,01:55.6
1991,Hansel,Woodman,Count On Bonnie,Corporate Report,Mane Minister,01:54.1
1990,Summer Squall,Storm Bird,Weekend Surprise,Unbridled,Mister Frisky,01:53.6
1989,Sunday Silence,Halo,Wishing Well,Easy Goer,Rock Point,01:53.8
1988,Risen Star,Secretariat,Ribbon,Brians Time,Winning Colors,01:56.2
1987,Alysheba,Alydar,Bel Sheba,Bet Twice,Cryptoclearance,01:55.8
1986,Snow Chief,Reflected Glory,Miss Snowflake,Ferdinand,Broad Brush,01:54.8
1985,Tank's Prospect,Mr Prospector,Midnight Pumpkin,Chiefs Crown,Eternal Prince,01:53.4
1984,Gate Dancer,Sovereign Dancer,Sun Gate,Play On,Fight Over,01:53.6
1983,Deputed Testamony,Traffic Cop,Proof Requested,Desert Wine,High Honors,01:55.4
1982,Aloma's Ruler,Iron Ruler,Aloma,Linkage,Cut Away,01:55.4
1981,Pleasant Colony,His Majesty,Sun Colony,Bold Ego,Paristo,01:54.6
1980,Codex,Arts And Letters,Roundup Rose,Genuine Risk,Colonel Moran,01:54.2
1979,Spectacular Bid,Bold Bidder,Spectacular,Golden Act,Screen King,01:54.2
1978,Affirmed,Exclusive Native,Wont Tell You,Alydar,Believe It,01:54.4
1977,Seattle Slew,Bold Reasoning,My Charmer,Iron Constitution,Run Dusty Run,01:54.4
1976,Elocutionist,Gallant Romeo,Strictly Speaking,Play The Red,Bold Forbes,01:55.0
1975,Master Derby,Dust Commander,Madam Jerry,Foolish Pleasure,Diabolo,01:56.4
1974,Little Current,Sea-Bird,Luiana,Neapolitan Way,Cannonade,01:54.6
1973,Secretariat,Bold Ruler,Somethingroyal,Sham,Our Native,01:53.0
1972,Bee Bee Bee,Better Bee,Paula,No Le Hace,Key To The Mint,01:55.6
1971,Canonero II,Pretendre,Dixieland,Eastern Fleet,Jim French,01:54.0
1970,Personality,Hail To Reason,Affectionately,My Dad George,Silent Screen,01:56.2
1969,Majestic Prince,Raise A Native,Gay Hostess,Arts And Letters,Jay Ray,01:55.6
1968,Forward Pass,On-And-On,Princess Turia,Out Of The Way,Nodouble,01:56.8
1967,Damascus,Sword Dancer,Kerala,In Reality,Proud Clarion,01:55.2
1966,Kauai King,Native Dancer,Sweep In,Stupendous,Amberoid,01:55.4
1965,Tom Rolfe,Ribot,Pocahontas,Dapper Dan,Hail To All,01:56.2
1964,Northern Dancer,Nearctic,Natalma,The Scoundrel,Hill Rise,01:56.8
1963,Candy Spots,Nigromante,Candy Dish,Chateaugay,Never Bend,01:56.2
