,Generation,,,,,,,,,,Sire Line,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row,Sire,G2,G3,G4,G5,G6,G7,G8,G9,G10,A.P. Indy,Storm Cat,Fappiano,Mr. Prospector,Northern Dancer,Turn-To,In Reality,Blushing Groom,Caro,Bold Ruler,Other,SireLine,Fappiano,Gone West,Smart Strike,Forty Niner,Other Mr P,Sadler's Wells,Deputy Minister,Danzig,Other ND,Modern Line
1,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,+,1,0,0,0,0,0,0,0,0,1,0,A.P. Indy,0,0,0,0,0,0,0,0,0,A.P. Indy
2,A.P. Warrior,A.P. Indy,Seattle Slew,Bold Reasoning,Boldnesian,Bold Ruler,Nasrullah,Nearco,Pharos,Phalaris,1,0,0,0,0,0,0,0,0,1,0,A.P. Indy,0,0,0,0,0,0,0,0,0,A.P. Indy
3,Acclamation,Unusual Heat,Nureyev,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,0,1,Other ND
4,Ack Ack,Battle Joined,Armageddon,Alsab,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
5,Afleet,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
6,Afleet Alex,Northern Afleet,Afleet,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
7,After Market,Storm Cat,Storm Bird,Northern Dancer,Nearctic,Nearco,Pharos,Phalaris,+,+,0,1,0,0,0,0,0,0,0,0,0,Storm Cat,0,0,0,0,0,0,0,0,0,Storm Cat
8,Ajax,Flying Fox,Orme,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
9,Albert the Great,Go for Gin,Cormorant,His Majesty,Ribot,Tenerani,Belliini,+,+,+,0,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Other
10,Alhaarth,Unfuwain,Northern Dancer,Nearctic,,,,,,,0,0,0,0,1,0,0,0,0,0,0,Northern Dancer,0,0,0,0,0,0,0,0,1,Other ND
11,Allen's Prospect,Mr. Prospector,Raise a Native,Native Dancer,Polynesian,Unbreakable,Sickle,Phalaris,+,+,0,0,0,1,0,0,0,0,0,0,0,Mr. Prospector,0,0,0,0,1,0,0,0,0,Other Mr P
12,Alphabet Soup,Cozzene,Caro,Fortino,Grey Sovereign,Nasrullah,Nearco,Pharos,Phalaris,+,0,0,0,0,0,0,0,0,1,0,0,Caro,0,0,0,0,0,0,0,0,0,Caro
