Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Taylor Made Sales Agency, Agent CLXVII","","Frosted --- All in With Aces","05/12/2018","GR/RO",Filly,"Frosted","All in With Aces","","","","Weanling","Out",0
1,0002,"Taylor Made Sales Agency, Agent LX","","Quality Road --- Allseas","03/03/2018","B",Colt,"Quality Road","Allseas","","","","Weanling","Out",0
1,0003,"Ballysax Bloodstock, Agent IV","","Super Saver --- All too Many","03/07/2018","CH",Colt,"Super Saver","All too Many","","","","Weanling","Out",0
1,0004,"Hill 'n' Dale Sales Agency, Agent","","Alluring Star","02/14/2015","B",Mare,"Exchange Rate","Spring Jump","Curlin","02/21/2018","pregnant","Broodmare","Katsumi Yoshida",925000
1,0005,"Paramount Sales, Agent I","","Uncle Mo --- Alpha Mama","01/31/2018","GR/RO",Colt,"Uncle Mo","Alpha Mama","","","","Weanling","Bloodstock Investments VI",250000
1,0006,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent II","","Union Rags --- Always Here Too","01/19/2018","DB/BR",Filly,"Union Rags","Always Here Too","","","","Weanling","*RNA (95,000)",---
1,0007,"Taylor Made Sales Agency, Agent CXI","","Amboseli","02/05/2012","DB/BR",Mare,"Medaglia d'Oro","Adja (IRE)","","","","Racing or Broodmare Prospect","Out",0
1,0008,"Hunter Valley Farm, Agent","","War Front --- Ana Luna (GB)","04/11/2018","DB/BR",Colt,"War Front","Ana Luna (GB)","","","","Weanling","Out",0
1,0009,"Eaton Sales, Agent","","Ancient Goddess (FR)","02/14/2012","B",Mare,"Iffraaj (GB)","Jezebel (GB)","American Pharoah","03/03/2018","pregnant","Broodmare","Mike Ryan, Agent",300000
1,0010,"Taylor Made Sales Agency, Agent XXVI","","Medaglia d'Oro --- Arch Support","04/28/2018","DB/BR",Filly,"Medaglia d'Oro","Arch Support","","","","Weanling","Out",0
1,0011,"Sequel New York, Agent","","Areyoucominghere","05/09/2015","B",Mare,"Bernardini","Uchitel","Into Mischief","04/20/2018","pregnant","Broodmare","Castleton Lyons",350000
1,0012,"James B. Keogh (Grovendale), Agent XIII","","Artsy Hearts","01/26/2015","B",Filly,"Candy Ride (ARG)","Sharp Act","","","","Racing or Broodmare Prospect","John McCormack, Agent for Japan Racing Association",160000
1,0013,"Hill 'n' Dale Sales Agency, Agent","","War Front --- A Star Is Born (IRE)","03/22/2018","B",Filly,"War Front","A Star Is Born (IRE)","","","","Weanling","Out",0
1,0014,"Paramount Sales, Agent XXXVII","","Medaglia d'Oro --- Auntie Joy","03/14/2018","DB/BR",Colt,"Medaglia d'Oro","Auntie Joy","","","","Weanling","Tuscany Bloodstock",200000
1,0015,"Taylor Made Sales Agency, Agent LX","","Into Mischief --- Ava Pie","04/19/2018","B",Filly,"Into Mischief","Ava Pie","","","","Weanling","Out",0
1,0016,"Taylor Made Sales Agency, Agent CCXIX","","American Pharoah --- Awesome Surprise","04/30/2018","B",Colt,"American Pharoah","Awesome Surprise","","","","Weanling","Cove Bloodstock",110000
1,0017,"Brookdale Sales, Agent for CASA Farms I LLC","","American Pharoah --- Baghdaria","03/21/2018","B",Filly,"American Pharoah","Baghdaria","","","","Weanling","*RNA (120,000)",---
1,0018,"Eaton Sales, Agent","","Ballette (IRE)","05/03/2002","CH",Mare,"Giant's Causeway","Russian Ballet","Candy Ride (ARG)","02/26/2018","pregnant","Broodmare","*RNA (145,000)",---
1,0019,"Claiborne Farm, Agent","","Beat the Drums","02/07/2010","B",Mare,"Smart Strike","Storm Flag Flying","Honor Code","05/20/2018","pregnant","Broodmare","River Bend Farm",400000
1,0020,"Hunter Valley Farm, Agent","","Beauly (GB)","03/09/2013","CH",Mare,"Sea The Stars (IRE)","Pickle (GB)","Quality Road","03/11/2018","pregnant","Broodmare","*RNA (450,000)",---
1,0021,"Taylor Made Sales Agency, Agent CCII","","Beau Recall (IRE)","03/14/2014","B",Filly,"Sir Prancealot (IRE)","Greta d'Argent (IRE)","","","","Racing or Broodmare Prospect","Out",0
1,0022,"Taylor Made Sales Agency, Agent CXI","","Bernina Star","04/05/2014","B",Filly,"Harlan's Holiday","Date to Remember","","","","Racing or Broodmare Prospect","Out",0
1,0023,"Hill 'n' Dale Sales Agency, Agent","","Better Not Cry","05/16/2010","B",Mare,"Street Cry (IRE)","Better Than Honour","Violence","03/19/2018","pregnant","Broodmare","*RNA (345,000)",---
1,0024,"Lane's End, Agent","","Bodacious Babe","02/09/2013","DB/BR",Mare,"Mineshaft","Blossomed","Arrogate","03/06/2018","pregnant","Broodmare","*RNA (345,000)",---
1,0025,"Hunter Valley Farm, Agent","","Street Sense --- Bold Angel","02/21/2018","DB/BR",Colt,"Street Sense","Bold Angel","","","","Weanling","Stonestreet Stables, LLC",290000
1,0026,"Denali Stud (Craig & Holly Bandoroff), Agent XVI","","Bonita Cat","03/10/2013","B",Mare,"Tale of the Cat","Dean Henry","More Than Ready","03/03/2018","pregnant","Broodmare","*RNA (320,000)",---
1,0027,"Blandford Stud (Padraig Campion), Agent","","American Pharoah --- Border Dispute","03/21/2018","B",Filly,"American Pharoah","Border Dispute","","","","Weanling","Out",0
1,0028,"Hill 'n' Dale Sales Agency, Agent","","Tapit --- Bubbler","05/01/2018","B",Filly,"Tapit","Bubbler","","","","Weanling","Clearsky Farms & Rac 04 Racing",750000
1,0029,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Callingmissbrown","02/03/2012","DB/BR",Mare,"Pulpit","Island Sand","Uncle Mo","05/16/2018","pregnant","Broodmare","Out",0
1,0030,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Speightstown --- Callingmissbrown","04/23/2018","CH",Filly,"Speightstown","Callingmissbrown","","","","Weanling","Out",0
1,0031,"Claiborne Farm, Agent","","Call Pat","04/25/2010","DB/BR",Mare,"Lawyer Ron","First Song","Pioneerof the Nile","03/08/2018","pregnant","Broodmare","Breeze Easy",500000
1,0032,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent IV","","Medaglia d'Oro --- Candrea","04/02/2018","DB/BR",Colt,"Medaglia d'Oro","Candrea","","","","Weanling","BBN Bloodstock",475000
1,0033,"Hill 'n' Dale Sales Agency, Agent","","War Front --- Cassatt","04/02/2018","GR/RO",Filly,"War Front","Cassatt","","","","Weanling","Out",0
1,0034,"Eaton Sales, Agent","","Chanteline","02/16/2012","B",Mare,"Majesticperfection","Listen to Libby","","","","Racing or Broodmare Prospect","SF Bloodstock & Newgate Farm",425000
1,0035,"Taylor Made Sales Agency, Agent XIII","","Flintshire (GB) --- Charmaine's Legacy","04/15/2018","DB/BR",Colt,"Flintshire (GB)","Charmaine's Legacy","","","","Weanling","Out",0
1,0036,"Select Sales, Agent I","","Union Rags --- Chase Motto","02/06/2018","CH",Colt,"Union Rags","Chase Motto","","","","Weanling","Shadwell Estate Company, Ltd.",400000
1,0037,"Denali Stud (Craig & Holly Bandoroff), Agent XVI","","Circulation (GB)","02/24/2014","B",Mare,"Oasis Dream (GB)","Double Crossed (GB)","Pioneerof the Nile","03/06/2018","pregnant","Broodmare","*RNA (385,000)",---
1,0038,"Taylor Made Sales Agency, Agent XXVI","","Classofsixtythree","05/01/2006","B",Mare,"Include","Rambling Rose","Gun Runner","05/21/2018","pregnant","Broodmare","Out",0
1,0039,"Taylor Made Sales Agency, Agent XXVI","","American Pharoah --- Classofsixtythree","05/02/2018","B",Filly,"American Pharoah","Classofsixtythree","","","","Weanling","Out",0
1,0040,"Lantern Hill Farm LLC, Agent II","","Classier","03/27/2018","B",Colt,"Empire Maker","Class Will Tell","","","","Weanling","Out",0
1,0041,"Hill 'n' Dale Sales Agency, Agent","","Coco as in Chanel","04/21/2013","B",Mare,"Awesome Again","Surf N Sand","Violence","04/18/2018","pregnant","Broodmare","SF Bloodstock & Newgate Farm",150000
1,0042,"James B. Keogh (Grovendale), Agent III","","Colorful Charades","04/19/2014","GR/RO",Mare,"Discreet Cat","Laila's Punch","Curlin","03/04/2018","pregnant","Broodmare","Woodford Thoroughbreds",400000
1,0043,"Hill 'n' Dale Sales Agency, Agent","","Curlin --- Conquering","04/12/2018","CH",Filly,"Curlin","Conquering","","","","Weanling","Out",0
1,0044,"Taylor Made Sales Agency, Agent LX","","Mineshaft --- Corinthian Luck","02/21/2018","B",Filly,"Mineshaft","Corinthian Luck","","","","Weanling","Out",0
1,0045,"Eaton Sales, Agent for William D. Graham (Windhaven Farms)","","Ghostzapper --- Cotton Blossom","04/20/2018","CH",Filly,"Ghostzapper","Cotton Blossom","","","","Weanling","Out",0
