Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Magdalena Farm, Agent","","Cigar City","","CH",Colt,"Speightstown","Red Carpet Miss","","","","","Mom Dukes Stables",2000
1,0002,"Magdalena Farm, Agent","","Classy Music","","DB/BR",Filly,"Maclean's Music","Class Above","","","","","Ontario Bloodstock",65000
1,0003,"Ballysax Bloodstock, Agent XVI","","Coexistence","","DB/BR",Filly,"Violence","Queen of Empire","","","","","Out",0
1,0004,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for","R. S. Evans","Cotton House","","B",Gelding,"Malibu Moon","Resort","","","","","Out",0
1,0005,"Magdalena Farm, Agent","","Curlin Grey","","GR/RO",Colt,"Curlin","Surf Light","","","","","Rockbridge Bloodstock, Agent for Centennial Farm",75000
1,0006,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for","R. S. Evans","Cyber War","","DB/BR",Colt,"War Front","New Economy","","","","","J. Kent Sweezey, Agent for Jersey Shore Racing I",2500
1,0007,"Buckland Sales (Zach Madden), Agent III","","Dalarna","","B",Horse,"K One King","Entangle (GB)","","","","","Robert Murray",45000
1,0008,"ELiTE, Agent","","Dancing Belle","","B",Filly,"First Samurai","London Mist","","","","","Out",0
1,0009,"ELiTE, Agent","","Danyelli","","CH",Filly,"Mineshaft","Landslide","","","","","Out",0
1,0010,"ELiTE, Agent","","Early Time (FR)","","B",Filly,"Charm Spirit (IRE)","Every Time (GB)","","","","","Out",0
1,0011,"Buckland Sales (Zach Madden), Agent III","","El Corazon","","B",Colt,"Quality Road","Baby Lets Cruise","","","","","Jose Garoffalo",6000
1,0012,"Ballysax Bloodstock, Agent XXX","","Elle's Town","","DB/BR",Filly,"Speightstown","Irish Presence","","","","","*RNA (140,000)",---
1,0013,"Buckland Sales (Zach Madden), Agent II","","Emmaus (IRE)","","DB/BR",Horse,"Invincible Spirit (IRE)","Prima Luce (IRE)","","","","","Out",0
1,0014,"Hunter Valley Farm, Agent","","Examiner","","B",Gelding,"Distorted Humor","Principal Role","","","","","Out",0
1,0015,"Mill Ridge Sales, Agent","for Juddmonte Farms, Inc.","Exchange West","","DB/BR",Filly,"Exchange Rate","West Riding","","","","","Meah/Lloyd Bloodstock, LLC",85000
1,0016,"ELiTE, Agent","","Ezmosh","","B",Colt,"Tizway","Eagle Island","","","","","Joe Sharp, Agent for Carl R. Moore Mgmt. LLC",135000
1,0017,"ELiTE, Agent","","Flashly","","DB/BR",Filly,"Denman (AUS)","Sheave","","","","","*RNA (150,000)",---
1,0018,"Magdalena Farm, Agent","","Harlan Strong (ARG)","","DB/BR",Horse,"Harlan's Holiday","Muequita Fitz (ARG)","","","","","Chad Schumer, Agent",85000
1,0019,"Mill Ridge Sales, Agent","for Juddmonte Farms, Inc.","Helena","","DB/BR",Filly,"Trappe Shot","Atlantic Island","","","","","Out",0
1,0020,"Claiborne Farm, Agent","","Illume","","CH",Colt,"Malibu Moon","My Lady Lauren","","","","","Franklin Ave. Equine, LLC",30000
1,0021,"Buckland Sales (Zach Madden), Agent III","","Jareth","","CH",Horse,"Hard Spun","Another Romance","","","","","Fergus Galvin, Agent for Marc Detampel",3000
1,0022,"Mill Ridge Sales, Agent","for Juddmonte Farms, Inc.","Julius","","GR/RO",Gelding,"Tapit","Amen Hallelujah","","","","","Fergus Galvin, Agent for Marc Detampel",37000
1,0023,"Claiborne Farm, Agent for Bortolazzo Stable LLC","","Just Ain't Right","","B",Filly,"Yes It's True","Me and Miss Jones","","","","","Machmer Hall",150000
1,0024,"ELiTE, Agent","","Justin's Quest","","CH",Colt,"Justin Phillip","Winter's Quest","","","","","Out",0
1,0025,"Shamrock Stables LLC (Joe Deegan), Agent","","Knight Disruptor","","DB/BR",Gelding,"Violence","Coastal Sunrise","","","","","Out",0
1,0026,"ELiTE, Agent","","Legend Emma (IRE)","","B",Filly,"Lope de Vega (IRE)","Starry Messenger (GB)","","","","","Out",0
1,0027,"ELiTE, Agent","","Lezendary","","GR/RO",Filly,"Zensational","Legendary Stacey","","","","","Out",0
1,0028,"Hunter Valley Farm, Agent","","Life Mission","","CH",Gelding,"Noble Mission (GB)","Crossing the Tape","","","","","Out",0
1,0029,"Indian Creek, Agent","","Local Hero","","DB/BR",Gelding,"Hard Spun","Liam's Dream","","","","","Michael M. Hui",50000
1,0030,"Buckland Sales (Zach Madden), Agent I","","Mad Grace","","CH",Filly,"English Channel","Floating Island","","","","","*RNA (37,000)",---
