,,,FIRST START BACK,,,,,,
YEAR,DIVISION,HORSE,CLS,ODDS,FAV,FIN,NOTE,,RACING CLASS KEY:
1971,2YO Filly,Numbered Account,STK,0.10,Y,1,,,AOC = Allowance/optional claiming race
1972,2YO Filly,La Prevoyante,ALW,0.20,Y,2,,,ALW = Allowance race
1973,2YO Filly,Talking Picture,STK,1.10,Y,1,,,STK = Ungraded/listed stakes race
1974,2YO Filly,Ruffian,ALW,0.10,Y,1,,,GRD = Graded stakes race
1975,2YO Filly,Dearly Precious,STK,0.20,Y,1,,,"RET = Retired, did not return to race"
1976,2YO Filly,Sensational,ALW,0.80,Y,3,,,DEC = Deceased
1977,2YO Filly,Lakeville Miss,STK,0.40,Y,2,,,
1978 (tie),2YO Filly,Candy Eclair,ALW,0.10,Y,1,,,
1978 (tie),2YO Filly,It's in the Air,GRD,1.20,Y,3,,,
1979,2YO Filly,Smart Angle,STK,0.40,Y,2,,,
1980,2YO Filly,Heavenly Cause,STK,1.20,Y,2,,,
1981,2YO Filly,Before Dawn,STK,0.30,Y,1,,,
1982,2YO Filly,Landaluce,DEC,,,,,,
1983,2YO Filly,Althea,STK,1.00,Y,1,,,
1984,2YO Filly,Outstandingly,ALW,0.30,Y,1,,,
1985,2YO Filly,Family Style,GRD,3.00,N,3,,,
1986,2YO Filly,Brave Raj,RET,,,,,,
1987,2YO Filly,Epitome,STK,0.80,Y,2,,,
1988,2YO Filly,Open Mind,GRD,2.30,Y,1,,,
1989,2YO Filly,Go For Wand,GRD,0.40,Y,1,,,
1990,2YO Filly,Meadow Star,STK,0.10,Y,1,,,
1991,2YO Filly,Pleasant Stage,GRD,1.90,Y,4,,,
1992,2YO Filly,Eliza,GRD,1.80,N,1,,,
1993,2YO Filly,Phone Chatter,STK,0.50,Y,1,,,
1994,2YO Filly,Flanders,RET,,,,,,
1995,2YO Filly,Golden Attraction,ALW,0.45,Y,1,,,
1996,2YO Filly,Storm Song,GRD,1.30,N,5,,,
1997,2YO Filly,Countess Diana,GRD,0.75,Y,2,,,
1998,2YO Filly,Silverbulletday,GRD,0.10,Y,1,,,
1999,2YO Filly,Chilukki,GRD,0.40,Y,2,,,
2000,2YO Filly,Caressing,GRD,1.70,Y,1,,,
2001,2YO Filly,Tempera,STK,,,2,Returned in Dubai,,
2002,2YO Filly,Storm Flag Flying,GRD,0.25,Y,2,,,
2003,2YO Filly,Halfbridled,GRD,0.50,Y,2,,,
2004,2YO Filly,Sweet Catomine,GRD,0.10,Y,1,,,
2005,2YO Filly,Folklore,GRD,0.20,Y,3,,,
2006,2YO Filly,Dreaming of Anna,GRD,0.40,Y,3,,,
2007,2YO Filly,Indian Blessing,GRD,0.10,Y,1,,,
2008,2YO Filly,Stardom Bound,GRD,0.40,Y,1,,,
2009,2YO Filly,She Be Wild,GRD,1.40,Y,5,,,
2010,2YO Filly,Awesome Feather,STK,0.25,Y,1,,,
2011,2YO Filly,My Miss Aurelia,STK,0.25,Y,1,,,
2012,2YO Filly,Beholder,GRD,0.20,Y,2,,,
2013,2YO Filly,She's a Tiger,GRD,2.60,N,7,,,
2014,2YO Filly,Take Charge Brandi,STK,0.40,Y,1,,,
2015,2YO Filly,Songbird,GRD,0.05,Y,1,,,
2016,2YO Filly,Champagne Room,GRD,4.80,N,3,,,
2017,2YO Filly,Caledonia Road,AOC,0.35,Y,1,,,
1971,2YO Male,Riva Ridge,STK,0.60,Y,1,,,
1972,2YO Male,Secretariat,GRD,0.20,Y,1,,,
1973,2YO Male,Protaganist,GRD,1.90,Y,4,,,
1974,2YO Male,Foolish Pleasure,ALW,,,1,"Exhibition race, no wagering",,
1975,2YO Male,Honest Pleasure,ALW,,,1,"Exhibition race, no wagering",,
1976,2YO Male,Seattle Slew,ALW,0.10,Y,1,,,
1977,2YO Male,Affirmed,ALW,0.20,Y,1,,,
1978,2YO Male,Spectacular Bid,STK,0.05,Y,1,,,
1979,2YO Male,Rockhill Native,ALW,0.10,Y,1,,,
1980,2YO Male,Lord Avie,STK,0.30,Y,1,,,
1981,2YO Male,Deputy Minister,STK,1.10,Y,5,,,
1982,2YO Male,Roving Boy,ALW,0.50,Y,1,,,
1983,2YO Male,Devil's Bag,STK,0.05,Y,1,,,
1984,2YO Male,Chief's Crown,STK,0.30,Y,1,,,
1985,2YO Male,Tasso,STK,0.60,Y,1,,,
1986,2YO Male,Capote,GRD,1.40,Y,4,,,
1987,2YO Male,Forty Niner,GRD,0.70,Y,2,,,
1988,2YO Male,Easy Goer,STK,0.30,Y,1,,,
1989,2YO Male,Rhythm,GRD,0.90,Y,7,,,
1990,2YO Male,Fly So Free,GRD,1.10,Y,1,,,
1991,2YO Male,Arazi,STK,0.00,Y,1,,,
1992,2YO Male,Gilded Time,GRD,5.40,N,3,,,
1993,2YO Male,Dehere,ALW,0.10,Y,2,,,
1994,2YO Male,Timber Country,GRD,0.70,Y,2,,,
1995,2YO Male,Maria's Mon,ALW,0.60,Y,2,,,
1996,2YO Male,Boston Harbor,STK,0.90,Y,4,,,
1997,2YO Male,Favorite Trick,GRD,0.30,Y,1,,,
1998,2YO Male,Answer Lively,STK,0.50,Y,7,,,
1999,2YO Male,Anees,GRD,3.90,N,3,,,
2000,2YO Male,Macho Uno,ALW,0.95,Y,2,,,
2001,2YO Male,Johannesburg,GRD,0.30,Y,2,,,
2002,2YO Male,Vindication,RET,,,,,,
2003,2YO Male,Action This Day,STK,1.90,N,4,,,
2004,2YO Male,Declan's Moon,GRD,0.80,Y,1,,,
2005,2YO Male,Stevie Wonderboy,GRD,0.60,Y,2,,,
2006,2YO Male,Street Sense,GRD,1.20,N,1,,,
2007,2YO Male,War Pass,ALW,0.05,Y,1,,,
2008,2YO Male,Midshipman,AOC,1.85,N,1,,,
2009,2YO Male,Lookin at Lucky,GRD,1.10,Y,1,,,
2010,2YO Male,Uncle Mo,STK,0.05,Y,1,,,
2011,2YO Male,Hansen,GRD,0.90,Y,2,,,
2012,2YO Male,Shanghai Bobby,GRD,1.00,Y,1,,,
2013,2YO Male,Shared Belief,ALW,0.20,Y,1,,,
2014,2YO Male,American Pharoah,GRD,0.40,Y,1,,,
2015,2YO Male,Nyquist,GRD,0.40,Y,1,,,
2016,2YO Male,Classic Empire,GRD,0.50,Y,3,,,
2017,2YO Male,Good Magic,GRD,0.70,Y,3,,,
1971,3YO Filly,Turkish Trousers,STK,0.90,Y,2,,,
1972,3YO Filly,Susan's Girl,GRD,1.10,Y,5,,,
1973,3YO Filly,Desert Vixen,GRD,1.40,Y,12,,,
