Date,#Track,,Dist,Run,Temp Rail,,Type/Value/Clm,Splits,,,Points Of Call,,,,,,Jockey,W,,,      First Three Finishers,Comments,Earned (USA $)
,,,,Up,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
12514,7LRL,ft,a8_f,110 ,,,NatvDancrB,4742,0.858333333,3.070833333, 2,6,56_,54_,42_,22,CastilloA,120,L ,* 1.70,"  114 BoldCrln2,IndinJonesno,ManagdAcount2_  ","rail,4wd 1/4,rallied ","$20,000 "
123113,8PRX,ft,7f,24 ,,,ALW 57.2k,2315,4563,1.590972222, 4,5,64_,62_,64_,54_,VazE,120,L ,4.7,"  105 AdirondakKng1_,Arlo1_,Tujoesnk  ","outside, too late ","$1,500 "
110113,6SA,ft,1_m,85 ,,,BCMrthonG2,0.84375,0.352083333,4.133333333, 6,,1018_,79_,66,52_,CastilloA,126,L ,5.9,"  111 LondonBridge1,Blueskesnrnbowsnk,Wrldly1_  ","awkward st,bobbled ","$15,000 "
92613,8LRL,ft,1m,20 ,,,AOC 50k,4589,0.729166667,2.557638889, 1,4,413_,411_,39_,21,CastilloA,120,LA ,* 1.40,"  111 CherokeeArtist1,IndianJones3,RollingYona2_  ","swung out lane,gamely ","$10,500 "
90213,9PRX,my,1_m,25 ,,,GrnwdCpG3,4986,2.925694444,2.425694444, 6,,78,2hd,2hd,2no,CastilloA,117,L ,4.8,"  114 Eldaaferno,IndianJones3_,PoolPlay2  ","wide, bid, outfinished ","$40,000 "
71413,8PRX,ft,1m,40 ,,,AOC 58.7k,4823,0.905555556,2.635416667, 3,8,83_,42,22_,1_,CastilloA,117,L ,3.9,"  108 IndianJones_,Winchill4,Lubango1  ","wide, in time ","$31,800 "
63013,8PRX,sy,8.32f,40 ,,,AOC50.5k/25k,4624,0.852083333,3.022916667, 1,4,511,34,1_,19,CastilloA,118,L ,* 1.30,"  115 IndianJones9,Jazzit1_,NorthernHammer7  ","inside, mild handling ","$30,000 "
52613,8PRX,ft,1m,40 ,,,AOC51.5k/25k,4723,0.915972222,2.75, 8,8,82,61_,44,36_,CedenoC,119,L ,4.7,"   92 RompCity1_,PrycesPosse5_,IndianJones1  ",blocked 1/4 ,"$5,500 "
     ¨,,,,,"Claimed (by Philip T. Aristone for Gold Star Racing Stable LLC, $25,000) from Andrew Sulley, trainer: Patricia Farro",,,,,,,,,,,,,,,,,,
51213,8PRX,ft,7f,24 ,,,AOC68.5k/40k,2388,4712,1.702083333, 4,4,62_,62_,65_,54_,CedenoC,119,L ,5.7,"  106 TraficLight1_,AdirondakKngno,Layrs3  ","outside, tired ","$1,590 "
40913,8PRX,ft,6_f,30 ,,,AOC52k/25k,2282,4582,1.216666667, 6,7,98_,83_,54_,32_,CastilloA,119,L ,6.3,"  105 Calvados1_,ArogntOficr1,IndianJoneshd  ","off slow, rallied ","$5,500 "
     ¨,,,,,"Claimed (by Patricia Farro for Andrew Sulley, $25,000) from Wira, Richard and Yvette, trainer: Philip T. Aristone",,,,,,,,,,,,,,,,,,
32313,8PRX,ft,1m,40 ,,,AOC52k/25k,4900,1.015277778,2.781944444, 9,9,73_,31_,64_,38_,CastilloA,117,L ,5,"   95 Crushnghd,Mezzno8_,IndianJones2_  ","eased out, no threat ","$5,500 "
22413,8PRX,ft,7f,24 ,,,AOC50.5k/25k,2402,4755,1.818055556, 4,5,52_,43_,31,13_,CastilloA,117,L ,10.2,"  109 IndinJones3_,PrntngPresnk,ScrethGold1_  ","wide, speed to spare ","$30,000 "
122912,4PRX,ft,1m,40 ,,,CLM42.9k/25k,4849,0.945138889,2.731944444, 4,5,510_,58,47,36_,CastilloA,118,L ,* 1.40,"   98 EZLed1,MyNonno5_,IndianJones2_  ","outside, no threat ","$3,630 "
120912,8PRX,sy,8.32f,40 ,,,AOC62.5k/25k,4875,0.954861111,3.0625, 6,5,58,59,411,310_,CastilloA,117,L ,4.2,"  101 Arlo6_,Mezzano4_,IndianJones2_  ",passed tiring foes ,"$5,500 "
111812,7PRX,ft,1 1/16m,48 ,,,AOC 60.5k,4830,0.899305556,3.077083333, 4,7,76_,68_,510_,515_,CastilloA,117,L ,34.8,"   92 SelfControl_,TrafficLight2_,Tujoes10  ",showed little ,"$1,590 "
51912,7DEL,ft,1 1/16m,72 ,,,JFrenchMem,4846,0.908333333,3.081944444, 4,6,610_,611_,613_,612,HiraldoL,117,L ,28.2,"   98 NotAbroad_,WinWilly1,MalibuGlow3_  ",trailed ,$125 
42012,9PIM,ft,1 1/16m,55 ,,,AOC 39k,4937,0.966666667,3.172222222, 2,4,45,59,512,68_,VazE,120,LA ,3.8,"   99 Edgewaternk,JoeVann_,Meistersnger3  ","inside, gave way ",$780 
32412,9LRL,gd,1 1/8m,30 ,,,HEJhnsnMem,4890,0.971527778,3.752083333, 1,4,511,514,58,33_,VazE,118,LA ,16.4,"  110 Eightofastocatch1,ChrokeArtist2_,IndinJones_  ","inside, mild rally ","$8,250 "
30212,7LRL,ft,1 1/8m,30 ,,,AOC 39k,5048,1.068055556,3.66875, 3,4,44,43,24,22,FloresJL,120,LA ,5.7,"  106 Ea2,IndianJoneshd,Framed5_  ","wide, willing effort ","$8,190 "
